ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780060934866,The News from Paraguay: A Novel,Lily Tuck,Harper Perennial,De Bolsillo,,"Description
“Brimming with rich descriptions of a beautiful country….
The News From Paraguay
evolves from a quirky, elegant tale of an unconventional love affair into a sweeping epic.” —
Fort Worth Star-Telegram
Lily Tuck’s impressive novel offers a kaleidoscopic portrait of 19th century Paraguay, a largely untouched wilderness where European and American figures mix with the Spanish aristocracy of the capital and the indigenous peoples from the surrounding areas.
The year is l854. In Paris, Francisco Solano—the future dictator of Paraguay—begins his courtship of the young, beautiful Irish courtesan Ella Lynch with a poncho, a Paraguayan band, and a horse named Mathilde. Ella follows Franco to Asunción and reigns there as his mistress. Isolated and estranged in this new world, she embraces her lover's ill-fated imperial dream—one fueled by a heedless arrogance that will devastate all of Paraguay.
With the urgency of the narrative, rich and intimate detail, and a wealth of skillfully layered characters,
The News from Paraguay
recalls the epic novels of Gabriel García Márquez and Mario Vargas Llosa.",,272,,"November 30th, 2004",https://www.bookpeople.com/book/9780060934866,https://images.booksense.com/images/866/934/9780060934866.jpg,bookpeople
9780194233804,Oxford Bookworms Factfiles: England: Level 1: 400-Word Vocabulary (Oxford Bookworms Library: Stage 1),John Escott,Oxford University Press,De Bolsillo,,"Description
Features
topics
such as environmental issues, historical facts, and culture.
Full-color
photographs, introductions, glossaries, and exercises enhance student reading and learning.
Audio
versions of selected titles provide great models of intonation and pronunciation of difficult words.",,64,,"March 15th, 2008",https://www.bookpeople.com/book/9780194233804,https://images.booksense.com/images/804/233/9780194233804.jpg,bookpeople
9780194643771,Read and Discover: Level 3: 600-Word Vocabularyyour Five Senses,Robert Quinn,Oxford University Press,De Bolsillo,,,,48,,"August 9th, 2010",https://www.bookpeople.com/book/9780194643771,https://images.booksense.com/images/771/643/9780194643771.jpg,bookpeople
9780194645003,Oxford Read and Discover: Level 5: 900-Word Vocabularyexploring Our World,Jacqueline Martin,Oxford University Press,De Bolsillo,,,,56,,"August 9th, 2010",https://www.bookpeople.com/book/9780194645003,https://images.booksense.com/images/003/645/9780194645003.jpg,bookpeople
9780194645683,"Oxford Read and Discover: Level 6: 1,050-Word Vocabularyyour Amazing Body Activity Book",,Oxford University Press,De Bolsillo,,,,24,,"November 22nd, 2010",https://www.bookpeople.com/book/9780194645683,https://images.booksense.com/images/683/645/9780194645683.jpg,bookpeople
9780593176580,What's Inside a Caterpillar Cocoon?: And Other Questions About Moths & Butterflies,Rachel Ignotofsky,Dragonfly Books,De Bolsillo,,"Description
With warm and heart-fluttering illustrations, discover the next nonfiction picture book about butterflies and moths from the creator of the
New York Times
bestseller
Women in Science!
Butterflies soar in the sunlight. While moths flutter under the moon and stars.
Find out more about these mysterious and majestic insects similarities and differences, and their awestrucking metamorphosis!
Rachel Ignotofsky's distinctive art style and engaging, informative text clearly answers any questions a child (or adult) could have about butterflies and moths in this nonfiction picture book series.",,48,,"March 4th, 2025",https://www.bookpeople.com/book/9780593176580,https://images.booksense.com/images/580/176/9780593176580.jpg,bookpeople
9780593685280,The Exchange: After The Firm (The Firm Series #2),John Grisham,Vintage,De Bolsillo,,"Description
#1
NEW YORK TIMES
BESTSELLER • John Grisham delivers high-flying international suspense in a stunning legal thriller that marks the return of Mitch McDeere, the brilliant hero of
The Firm.
“A breathtaking update on the McDeeres and the life they made . . . Grisham, in vintage form, ratchets up the suspense in this winning sequel.” —
The Wall Street Journal
What became of Mitch and Abby McDeere after they exposed the crimes of Memphis law firm Bendini, Lambert & Locke and fled the country? The answer is found in
The Exchange
, the riveting sequel to
The Firm
, the blockbuster thriller that launched the career of America’s favorite storyteller.
It is now fifteen years later, and Mitch and Abby are living in Manhattan, where Mitch is a partner at the largest law firm in the world. When a mentor in Rome asks him for a favor that will take him as far as Istanbul and Tripoli, Mitch finds himself at the center of a sinister plot that has worldwide implications. Once again Mitch’s colleagues, friends, and family are targeted. Mitch is a master at staying one staying one step ahead of his adversaries, but this time there’s nowhere to hide.
Look for John Grisham’s forthcoming legal thriller,
The Widow
. This time, the verdict isn’t the end of the story.",,352,,"July 16th, 2024",https://www.bookpeople.com/book/9780593685280,https://images.booksense.com/images/280/685/9780593685280.jpg,bookpeople
9780593898758,"Richard Scarry's Best Daddy Ever!: A Book for BUSY, BUSY Dads",Richard Scarry,Random House Books for Young Readers,Tapa Dura,,"Description
Celebrate Dad with this adorable book featuring Huckle Cat, Lowly Worm and friends from Richard Scarry’s Busytown! A perfect gift for Father's Day!
Show Dad just how much he means to you with this heartwarming gift book featuring Lowly Worm, Huckle Cat, and several Busytown dads! With fun illustrations and wise words of wisdom, this charming keepsake is a great way to show parents, grandparents, soon-to-be dads, uncles, or whomever you call ""Daddy"" just how much you care.",,32,,"April 1st, 2025",https://www.bookpeople.com/book/9780593898758,https://images.booksense.com/images/758/898/9780593898758.jpg,bookpeople
9781081293239,"Change Your Life Today: The Ultimate Guide to Motivation, Success and Happiness (Personal Transformation #1)",Lewis David,Independently Published,De Bolsillo,,"Description
Are you tired of the same old grind? Do you feel life is passing you by?
Don't worry. The answer to achieving your dreams is easier than you think.
""Change Your Life Today""
is rocket fuel for your ambitions. In it, you will discover:
* How to turn your goals into easy-to-follow plans that cannot fail.
* How to find effortless motivation whenever you need it.
* How to create a life with
more money, less stress, more fun, and fewer commitments
.
What's more, you can reach your dreams quickly and start living your life right now.
Sound too good to be true? Not at all  It is how the author runs his own successful life. Lewis David is a leading therapist and popular writer, with 100,000+ books sold. His science-based methods have already changed the lives of thousands of people.
Now it's your turn to achieve your deepest desires.
With this book, you can start living your dream -
today
.",,184,,"July 18th, 2019",https://www.bookpeople.com/book/9781081293239,https://images.booksense.com/images/239/293/9781081293239.jpg,bookpeople
9781338827170,I Hope This Doesn't Find You,Ann Liang,Scholastic Press,De Bolsillo,,"Description
Unforgettable, snarky, and romantic, I Hope This Doesn't Find You is Never Have I Ever meets To All the Boys I've Loved Before if Lara Jean wrote hate emails instead of love letters.
Sadie Wen is perfect on paper: school captain, valedictorian, and a ""pleasure to have in class."" It's not easy, but she has a trick to keep her model-student smile plastered on her face at all times: she channels all her frustrations into her email drafts. She'd never send them of course -- she'd rather die than hurt anyone's feelings -- but it's a relief to let loose on her power-hungry English teacher or a freeloading classmate taking credit for Sadie's work.
All her most vehemently worded emails are directed at her infuriating cocaptain, Julius Gong, whose arrogance and competitive streak have irked Sadie since they were kids. ""You're attention starved and self-obsessed and unbearably vain . . . I really hope your comb breaks and you run out of whatever expensive hair products you've been using to make your hair appear deceptively soft . . .""
Sadie doesn't have to hold back in her emails, because nobody will ever read them . . . that is, until they're accidentally sent out.
Overnight, Sadie's carefully crafted, conflict-free life is turned upside down. It's her worst nightmare -- now everyone at school knows what she really thinks of them, and they're not afraid to tell her what they really think of her either. But amidst the chaos, there's one person growing to appreciate the ""real"" Sadie -- Julius, the only boy she's sworn to hate . . . .",,336,,"January 7th, 2025",https://www.bookpeople.com/book/9781338827170,https://images.booksense.com/images/170/827/9781338827170.jpg,bookpeople
