query_raw,isbn_archivo,titulo_archivo,isbn_bookpeople,titulo_bookpeople,autor_bookpeople,precio_bookpeople,moneda_bookpeople,url_bookpeople,imagen_bookpeople,paginas_bookpeople,encuadernacion_bookpeople,editorial_bookpeople,fecha_publicacion_bookpeople,fecha_publicacion_iso_bookpeople,descripcion_bookpeople,acerca_autor_bookpeople,descripcion_raw_html_bookpeople,isbn_match,titulo_match_estricto,titulo_match_relajado,similitud_titulo,motivo_seleccion
9780194644457,9780194644457,,9780194644457,Read and Discover Level 4 How to Stay Healthy,Julie Penn,11.0,USD,https://www.bookpeople.com/book/9780194644457,https://images.booksense.com/images/457/644/9780194644457.jpg,48,Paperback,Oxford,"October 9th, 2011",2011-10-09,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780763680893,9780763680893,,9780763680893,"The Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup, and a Spool of Thread (A Middle-Grade Classic About Courage, Friendship, and Forgiveness for Kids Ages 7-10)",Kate DiCamillo,8.99,USD,https://www.bookpeople.com/book/9780763680893,https://images.booksense.com/images/893/680/9780763680893.jpg,272,Paperback,Candlewick,"December 8th, 2015",2015-12-08,"Description
A #1
New York Times
bestseller!
A brave mouse, a covetous rat, a wishful serving girl, and a princess named Pea come together in Kate DiCamillo's Newbery Medal–winning tale.
Welcome to the story of Despereaux Tilling, a mouse who is in love with music, stories, and a princess named Pea. It is also the story of a rat called Roscuro, who lives in the darkness and covets a world filled with light. And it is the story of Miggery Sow, a slow-witted serving girl who harbors a simple, impossible wish. These three characters are about to embark on a journey that will lead them down into a horrible dungeon, up into a glittering castle, and, ultimately, into each other's lives. What happens then? As Kate DiCamillo would say: Reader, it is your destiny to find out.
With black-and-white illustrations and a refreshed cover by Timothy Basil Ering.","About the Author
Kate DiCamillo
is the beloved author of many books for young readers, including the Orris and Timble, Mercy Watson, and Tales from Mercy Watson’s Deckawoo Drive series. Her books
Flora & Ulysses
and
The Tale of Despereaux
both received Newbery Medals. A former National Ambassador for Young People’s Literature, she lives in Minneapolis.
Timothy Basil Ering
is the illustrator of the Newbery Medal winner
The Tale of Despereaux
by Kate DiCamillo as well as
Walrus Song
by Janet Lawler,
Finn Throws a Fit!
by David Elliott, and
Snook Alone
by Marilyn Nelson. He is also the author-illustrator of
The Story of Frog Belly Rat Bone
,
Necks Out for Adventure!
,
The Almost Fearless Hamilton Squidlegger
, and
The Unexpected Love Story of Alfred Fiddleduckling
. Timothy Basil Ering lives in Kingston, Massachusetts.","<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p><strong>A #1 <em>New York Times</em> bestseller!<br/><br/>A brave mouse, a covetous rat, a wishful serving girl, and a princess named Pea come together in Kate DiCamillo's Newbery Medal–winning tale.</strong><br/><br/>Welcome to the story of Despereaux Tilling, a mouse who is in love with music, stories, and a princess named Pea. It is also the story of a rat called Roscuro, who lives in the darkness and covets a world filled with light. And it is the story of Miggery Sow, a slow-witted serving girl who harbors a simple, impossible wish. These three characters are about to embark on a journey that will lead them down into a horrible dungeon, up into a glittering castle, and, ultimately, into each other's lives. What happens then? As Kate DiCamillo would say: Reader, it is your destiny to find out. <br/>With black-and-white illustrations and a refreshed cover by Timothy Basil Ering.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194278713,9780194278713,,9780194278713,Oxford Discover: 3: Student Book,,37.4,USD,https://www.bookpeople.com/book/9780194278713,https://images.booksense.com/images/713/278/9780194278713.jpg,192,Paperback,"Oxford University Press, USA","December 5th, 2013",2013-12-05,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194278737,9780194278737,,9780194278737,Oxford Discover: 3: Workbook,,18.7,USD,https://www.bookpeople.com/book/9780194278737,https://images.booksense.com/images/737/278/9780194278737.jpg,176,Paperback,"Oxford University Press, USA","March 27th, 2014",2014-03-27,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194574709,9780194574709,,9780194574709,Basic English for Computing: Student's Book,Eric H. Glendinning,20.5,USD,https://www.bookpeople.com/book/9780194574709,https://images.booksense.com/images/709/574/9780194574709.jpg,136,Paperback,"Oxford University Press, USA","October 23rd, 2003",2003-10-23,"Description
This topic-centered course covers key computing functions while developing the four skills.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>This topic-centered course covers key computing functions while developing the four skills.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194726344,9780194726344,,9780194726344,American Headway Third Edition: Level 4 Student Book: With Oxford Online Skills Practice Pack,John And Liz Soars,55.0,USD,https://www.bookpeople.com/book/9780194726344,https://images.booksense.com/images/344/726/9780194726344.jpg,0,Paperback,Oxford University Press,"March 18th, 2016",2016-03-18,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9781338835755,9781338835755,,9781338835755,I Love School (A Let's Play! Board Book),Sandra Magsamen,12.99,USD,https://www.bookpeople.com/book/9781338835755,https://images.booksense.com/images/755/835/9781338835755.jpg,10,Novelty book,Cartwheel Books,"June 4th, 2024",2024-06-04,"Description
Let's play! Turn the wheel and get ready for a school adventure in this highly innovative interactive format, part of a brand-new classic game and toy-inspired novelty board book line, Let's Play!, from bestselling creator Sandra Magsamen!
Get ready for school and learn about all the numbers, letters, shapes, and colors as never before in this view finder-inspired novelty board book, including die-cuts on every spread and a sturdy spinning wheel! Each page features a different question and prompts young readers to find the correct answer on the spinning wheel. This book is perfect for developing your little ones' fine motor skills, providing opportunities to practice matching and memory skills, while having lots and lots of fun! It's just right for babies, toddlers, and preschoolers!
This book is part of an innovative and interactive board book line, Let's Play!, which combines reading, game time, and play. Created by bestselling author-illustrator Sandra Magsamen, each Let's Play! book is made to encourage curiosity and creative problem-solving through imaginative play, all with Sandra’s signature message of love.
Let's Play! introduces young readers to their very first game play experience and teaches:- How to Take Turns- How to Follow Directions- How to Win and Lose- Hand-Eye Coordination and Fine Motor Skills- Self-esteem and a Sense of Accomplishment that game play inspires!
LET'S PLAY! -- where you can learn through play every day!","About the Author
Sandra Magsamen is the author and illustrator of many books for young children, including the picture book When I Grow Up I Want to Be Me, as well as a number of bestselling novelty titles, including Everybody Goes Nighty-Night, named a Best Board Book of 2018 by The Children's Book Review; Baby Love; I Love You, Little Pumpkin; and Peek-a-Boo, I Love You. As an artist, an art therapist, and a mom, she uses her creativity to remind people to express themselves and connect with others. Her lifestyle brands, products, and books are sold worldwide. Visit her at sandramagsamen.com.","<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>Let's play! Turn the wheel and get ready for a school adventure in this highly innovative interactive format, part of a brand-new classic game and toy-inspired novelty board book line, Let's Play!, from bestselling creator Sandra Magsamen!
</p>
<p>Get ready for school and learn about all the numbers, letters, shapes, and colors as never before in this view finder-inspired novelty board book, including die-cuts on every spread and a sturdy spinning wheel! Each page features a different question and prompts young readers to find the correct answer on the spinning wheel. This book is perfect for developing your little ones' fine motor skills, providing opportunities to practice matching and memory skills, while having lots and lots of fun! It's just right for babies, toddlers, and preschoolers!</p>
<p>This book is part of an innovative and interactive board book line, Let's Play!, which combines reading, game time, and play. Created by bestselling author-illustrator Sandra Magsamen, each Let's Play! book is made to encourage curiosity and creative problem-solving through imaginative play, all with Sandra’s signature message of love.</p>
<p>Let's Play! introduces young readers to their very first game play experience and teaches:- How to Take Turns- How to Follow Directions- How to Win and Lose- Hand-Eye Coordination and Fine Motor Skills- Self-esteem and a Sense of Accomplishment that game play inspires!</p>
<p>LET'S PLAY! -- where you can learn through play every day!</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9781368097925,9781368097925,,9781368097925,Disney Baby: Say Good Night,Sheila Sweeny Higginson,8.99,USD,https://www.bookpeople.com/book/9781368097925,https://images.booksense.com/images/925/097/9781368097925.jpg,24,Board book,Random House/Disney,"April 15th, 2025",2025-04-15,"Description
The sun has set, and the moon and stars are bright in the sky.
It’s time for children, and all of their toys, to say, “Good Night.”
Join Bonnie and her toys from Pixar’s beloved
Toy Story
as they settle in for sleep in this sweet, rhyming bedtime story for babies and toddlers.
At nighttime, everyone has to sleep—even toys!
This charming 24-page bedtime story, perfect for 0-to-3-year-olds, follows Bonnie from Pixar's beloved
Toy Story
movies, as she wishes all of her toys a ""good night"" before she goes to bed. Including favorite Disney characters like Buzz Lightyear and Woody, this soon-to-be classic board book pays homage to the best-seling children's book
Good Night Moon
and encourages children to create their own bedtime rituals.
A simple story told through soothing, lyrical text,
Say Good Night
is sure to become a bedtime favorite for your little one.
Complete your Disney Baby library with these other sweet books:
Disney Classics My First Bedtime Storybook
Pixar My First Bedtime Storybook
Disney 5-Minute Sleepy Time Stories
Toy Story Storybook Collection
Disney Junior Storybook Collection","About the Author
Sheila Sweeny Higginson is an award-winning author and editor who has worked in educational publishing for over 17 years. She has created a variety of material, including children's books, parenting articles, and teacher guides, for a variety of leading publishers and has taught journalism to high-school students. Her work has garnered EdPress and Parent's Choice awards.
Jerrod Maruyama is a freelance artist specializing in character designs and all things cute. He has worked for some of the biggest names in entertainment, merchandise, and social media—including Disney, Sesame Workshop, Netflix, Target, and Dreamworks.","<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p><strong>The sun has set, and the moon and stars are bright in the sky.</strong><br/><strong>It’s time for children, and all of their toys, to say, “Good Night.”</strong><br/><br/><strong>Join Bonnie and her toys from Pixar’s beloved <em>Toy Story</em> as they settle in for sleep in this sweet, rhyming bedtime story for babies and toddlers.</strong><br/><br/>At nighttime, everyone has to sleep—even toys!<br/><br/>This charming 24-page bedtime story, perfect for 0-to-3-year-olds, follows Bonnie from Pixar's beloved<strong> Toy Story </strong>movies, as she wishes all of her toys a ""good night"" before she goes to bed. Including favorite Disney characters like Buzz Lightyear and Woody, this soon-to-be classic board book pays homage to the best-seling children's book <strong><em>Good Night Moon</em></strong> and encourages children to create their own bedtime rituals.<br/><br/>A simple story told through soothing, lyrical text, <strong>Say Good Night </strong>is sure to become a bedtime favorite for your little one. <br/><br/>Complete your Disney Baby library with these other sweet books: <br/>
</p>
<ul>
<li><em>Disney Classics My First Bedtime Storybook</em></li>
<li><em>Pixar My First Bedtime Storybook</em></li>
<li><em>Disney 5-Minute Sleepy Time Stories</em></li>
<li><em>Toy Story Storybook Collection</em></li>
<li><em>Disney Junior Storybook Collection</em></li>
</ul>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194791830,9780194791830,,9780194791830,Oxford Bookworms Library: The Scarlet Letter: Level 4: 1400-Word Vocabulary,Nathaniel Hawthorne,11.0,USD,https://www.bookpeople.com/book/9780194791830,https://images.booksense.com/images/830/791/9780194791830.jpg,96,Paperback,Oxford University Press,"February 18th, 2008",2008-02-18,"Description
This award-winning collection of adapted classic literature and original stories develops reading skills for low-beginning through advanced students.
Accessible language and carefully controlled vocabulary build students' reading confidence.
Introductions at the beginning of each story, illustrations throughout, and glossaries help build comprehension.
Before, during, and after reading activities included in the back of each book strengthen student comprehension.
Audio versions of selected titles provide great models of intonation and pronunciation of difficult words.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p><strong>This award-winning collection of adapted classic literature and original stories develops reading skills for low-beginning through advanced students.</strong>
</p>
<p>Accessible language and carefully controlled vocabulary build students' reading confidence.
</p>
<p>Introductions at the beginning of each story, illustrations throughout, and glossaries help build comprehension.
</p>
<p>Before, during, and after reading activities included in the back of each book strengthen student comprehension.
</p>
<p>Audio versions of selected titles provide great models of intonation and pronunciation of difficult words.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
