ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780063251922,Demon Copperhead: A Novel,Barbara Kingsolver,Harper,Tapa Dura,,"Description
WINNER OF THE PULITZER PRIZE
•
WINNER OF THE WOMEN'S PRIZE FOR FICTION
New York Times
Readers’ Pick: Top 100 Books of the 21
st
Century • An Oprah’s Book Club Selection • An Instant
New York Times
Bestseller • An Instant
Wall Street Journal
Bestseller •
A #1
Washington Post
Bestseller • A
New York Times
""Ten Best Books of the Year""
""Demon is a voice for the ages—akin to Huck Finn or Holden Caulfield—only even more resilient.” —Beth Macy, author of
Dopesick
""May be the best novel of [the year]. . . . Equal parts hilarious and heartbreaking, this is the story of an irrepressible boy nobody wants, but readers will love.”
—
Ron Charles,
Washington Post
From the acclaimed author of
The Poisonwood Bible
and
The Bean Trees
and the recipient of the National Book Foundation's Medal for Distinguished Contribution to American Letters
,
a brilliant novel that enthralls, compels, and captures the heart as it evokes a young hero’s unforgettable journey to maturity
Set in the mountains of southern Appalachia,
Demon Copperhead
is the story of a boy born to a teenaged single mother in a single-wide trailer, with no assets beyond his dead father’s good looks and copper-colored hair, a caustic wit, and a fierce talent for survival. Relayed in his own unsparing voice, Demon braves the modern perils of foster care, child labor, derelict schools, athletic success, addiction, disastrous loves, and crushing losses. Through all of it, he reckons with his own invisibility in a popular culture where even the superheroes have abandoned rural people in favor of cities.
Many generations ago, Charles Dickens wrote
David Copperfield
from his experience as a survivor of institutional poverty and its damages to children in his society. Those problems have yet to be solved in ours. Dickens is not a prerequisite for readers of this novel, but he provided its inspiration. In transposing a Victorian epic novel to the contemporary American South, Barbara Kingsolver enlists Dickens’ anger and compassion, and above all, his faith in the transformative powers of a good story.
Demon Copperhead
speaks for a new generation of lost boys, and all those born into beautiful, cursed places they can’t imagine leaving behind.",,560,,"October 18th, 2022",https://www.bookpeople.com/book/9780063251922,https://images.booksense.com/images/922/251/9780063251922.jpg,bookpeople
9780143106784,Demian: The Story of Emil Sinclair's Youth,Hermann Hesse,Penguin Classics,De Bolsillo,,"Description
A powerful new translation of Nobel Prize winner Hermann Hesse’s masterpiece of youthful rebellion—with a foreword and cover art by James Franco
A Penguin Classic
A young man awakens to selfhood and to a world of possibilities beyond the conventions of his upbringing in Nobel Prize winner Hermann Hesse’s beloved novel
Demian.
Emil Sinclair is a quiet boy drawn into a forbidden yet seductive realm of petty crime and defiance. His guide is his precocious, mysterious classmate Max Demian, who provokes in Emil a search for self-discovery and spiritual fulfillment. A brilliant psychological portrait,
Demian
is given new life in this translation, which together with James Franco’s personal and inspiring foreword will bring a new generation to Hesse’s widely influential coming-of-age novel.
For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",,176,,"July 30th, 2013",https://www.bookpeople.com/book/9780143106784,https://images.booksense.com/images/784/106/9780143106784.jpg,bookpeople
9780194278805,Oxford Discover 4 Workbook,Koustaff,Oxford,De Bolsillo,,,,0,,"September 25th, 2014",https://www.bookpeople.com/book/9780194278805,https://images.booksense.com/images/805/278/9780194278805.jpg,bookpeople
9780194323468,Effective Academic Writing 1: The Paragraph,Alice Savage,"Oxford University Press, USA",De Bolsillo,,"Description
Effective Academic Writing, Second Edition provides the tools necessary for successful academic writing:
-Step-by step Writing Process guides and refines writing skills.
-Timed Writing practice prepares students for success on high-stakes tests.
-Online Writing Tutor on Oxford Learn improves academic writing inside and outside the classroom.
-Online Grammar Practice provides extra practice where and when your students need it the most.
Step-By-Step Instruction takes students through the complete academic writing process starting at the sentence level and ending with the researched essay.",,160,,"March 13th, 2012",https://www.bookpeople.com/book/9780194323468,https://images.booksense.com/images/468/323/9780194323468.jpg,bookpeople
9780194323475,Effective Academic Writing 2: The Short Essay,Alice Savage,"Oxford University Press, USA",De Bolsillo,,"Description
Effective Academic Writing, Second Edition provides the tools necessary for successful academic writing:
-Step-by step Writing Process guides and refines writing skills.
-Timed Writing practice prepares students for success on high-stakes tests.
-Online Writing Tutor on Oxford Learn improves academic writing inside and outside the classroom.
-Online Grammar Practice provides extra practice where and when your students need it the most.
Step-By-Step Instruction takes students through the complete academic writing process starting at the sentence level and ending with the researched essay.",,168,,"March 13th, 2012",https://www.bookpeople.com/book/9780194323475,https://images.booksense.com/images/475/323/9780194323475.jpg,bookpeople
9780194644471,Oxford Read and Discover: Level 4: 750-Word Vocabularymachines Then and Now Activity Book,,Oxford University Press,De Bolsillo,,,,16,,"July 15th, 2010",https://www.bookpeople.com/book/9780194644471,https://images.booksense.com/images/471/644/9780194644471.jpg,bookpeople
9780194644495,Oxford Read and Discover: Level 4: 750-Word Vocabularyall about Ocean Life Activity Book,,Oxford University Press,De Bolsillo,,,,16,,"May 15th, 2010",https://www.bookpeople.com/book/9780194644495,https://images.booksense.com/images/495/644/9780194644495.jpg,bookpeople
9780194644525,Read and Discover Level 4 All about Desert Life Activity Book,Julie Penn,Oxford,De Bolsillo,,,,48,,"October 9th, 2011",https://www.bookpeople.com/book/9780194644525,https://images.booksense.com/images/525/644/9780194644525.jpg,bookpeople
9780194775601,American English File 2e Starter Class Audio CDs: American English File 2e Starter Class Audio CDs,Christina Latham-Koenig,"Oxford University Press, USA",Compact Disc,,,,0,,"September 15th, 2013",https://www.bookpeople.com/book/9780194775601,https://images.booksense.com/images/601/775/9780194775601.jpg,bookpeople
9780194775618,American English File 2e 1 Class Audio CDs: American English File 2e 1 Class Audio CDs,Christina Latham-Koenig,"Oxford University Press, USA",Compact Disc,,,,0,,"September 15th, 2013",https://www.bookpeople.com/book/9780194775618,https://images.booksense.com/images/618/775/9780194775618.jpg,bookpeople
