query_raw,isbn_archivo,titulo_archivo,isbn_yenny,titulo_yenny,autor_yenny,precio_yenny,moneda_yenny,url_yenny,imagen_yenny,url_portada_yenny,formato_yenny,editorial_yenny,encuadernacion_yenny,idioma_yenny,paginas_yenny,dimensiones_yenny,fecha_publicacion_yenny,descripcion_yenny,descripcion_raw_yenny,sinopsis_yenny,isbn_match,titulo_match_estricto,titulo_match_relajado,similitud_titulo,motivo_seleccion
﻿9789500214902,9789500214902,,9789500214902,DESBLOQUEA TU PROXIMO NIVEL,Daniela De Lucia,32900.0,ARS,https://www.yenny-elateneo.com/productos/desbloquea-tu-proximo-nivel,https://acdn-us.mitiendanube.com/stores/004/088/117/products/714035-eea51228eaba74058717272078002740-1024-1024.webp,https://acdn-us.mitiendanube.com/stores/004/088/117/products/714035-eea51228eaba74058717272078002740-1024-1024.webp,LIBROS,El Ateneo,Tapa Blanda,Español,,,02/2024,,"<div class=""user-content font-small mb-4"">
<div class=""short-description"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: #ffffff; zoom: 1.2;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Formato: </strong>LIBROS</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Editorial:</strong> El Ateneo</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Encuadernación:</strong> Tapa Blanda</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Idioma: </strong>Español</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>ISBN: </strong>9789500214902</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><span style=""background-color: transparent;""><strong>N°</strong></span><strong> Páginas: </strong>376</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Dimensiones: </strong>22.5 x 15.5 cm</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Fecha Publicación: </strong>02/2024</div> <br/><p><strong>Sinópsis</strong><br/>Si probaste de todo, pero nada funciona¿ Probaste de todo, excepto lo que funciona. La vida te pondrá en la misma situación, una y otra vez, hasta que la atravieses. Como en un videojuego, repites el mismo nivel hasta que lo superas y comienzas a experimentar una realidad diferente. Pero ¿dónde aprendes la estrategia correcta para pasar de nivel? Este libro es exactamente eso: una guía completa, paso a paso, para lograr resultados extraordinarios. Daniela De Lucía, coach certificada con Tony Robbins y Cloé Madanes, autora del best seller Estás para más, une el coaching estratégico con la ley de la atracción para que desbloquees tu próximo nivel en todas las áreas de vida. Aquí tienes la llave para abrir la puerta que creíste que estaba cerrada para ti. Y lo mejor: funciona.</p></div> </div>
</div>","Si probaste de todo, pero nada funciona¿ Probaste de todo, excepto lo que funciona. La vida te pondrá en la misma situación, una y otra vez, hasta que la atravieses. Como en un videojuego, repites el mismo nivel hasta que lo superas y comienzas a experimentar una realidad diferente. Pero ¿dónde aprendes la estrategia correcta para pasar de nivel? Este libro es exactamente eso: una guía completa, paso a paso, para lograr resultados extraordinarios. Daniela De Lucía, coach certificada con Tony Robbins y Cloé Madanes, autora del best seller Estás para más, une el coaching estratégico con la ley de la atracción para que desbloquees tu próximo nivel en todas las áreas de vida. Aquí tienes la llave para abrir la puerta que creíste que estaba cerrada para ti. Y lo mejor: funciona.",True,False,False,0.0,ISBN exacto
9789877188547,9789877188547,,9789877188547,SECRETOS DETRAS DE LA MAGIA LOS. 10 PASOS PARA LA CREACION Y GESTION,Jonatan Marcos Loidi,38000.0,ARS,https://www.yenny-elateneo.com/productos/secretos-detras-de-la-magia-los-10-pasos-para-la-creacion-y-gestion,https://acdn-us.mitiendanube.com/stores/004/088/117/products/715296-d3983fd959afaa53c017272142302795-1024-1024.webp,https://acdn-us.mitiendanube.com/stores/004/088/117/products/715296-d3983fd959afaa53c017272142302795-1024-1024.webp,LIBROS,Ediciones Lea,Tapa Blanda,Español,,,04/2024,,"<div class=""user-content font-small mb-4"">
<div class=""short-description"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: #ffffff; zoom: 1.2;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Formato: </strong>LIBROS</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Editorial:</strong> Ediciones Lea</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Encuadernación:</strong> Tapa Blanda</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Idioma: </strong>Español</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>ISBN: </strong>9789877188547</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><span style=""background-color: transparent;""><strong>N°</strong></span><strong> Páginas: </strong>320</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Dimensiones: </strong>23 x 15 cm</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Fecha Publicación: </strong>04/2024</div> <br/><p><strong>Sinópsis</strong><br/>Jonatan Loidi y 'Gaita' González presentan un modelo de 10 pasos para la creación y gestión de experiencias mágicas para tu organización. Este libro es el manual de la excelencia en atención al cliente y desarrollo empresarial. Demuestra que la pasión es clave para superar los desafíos. Una invitación a reflexionar, trabajar y cambiar paradigmas para formar parte del 5% que marca la diferencia'. Martín Zuppi, CEO Stellatis Argentina 'Conocí el modelo a partir de una conferencia, y sin dudas me pareció el recorrido ideal para trabajar en la experiencia que una organización puede ofrecer. Hoy este libro forma parte de nuestra agenda de trabajo'. Carolina Del Hoyo, Directora Regional Marketing Fratelli Branca 'Este libro permite enamorarse de la idea de que no existen los límites cuando se trata de satisfacer y hacer felices a nuestros clientes, y a nuestro equipo de trabajo. 100% aplicable a la realidad de Latinoamérica'. Isabel Cristina Sepúlveda Parra, Directora de Experiencia al cliente en Bancolombia. 'Participé de la experiencia en Orlando dos veces. Por tal motivo aseguro que este libro marca un antes y después para la organización y el liderazgo, ofreciendo un camino lógico y simple hacia el éxito, con ejemplos claros'. Carlos Bethancourt, Director ejecutivo Acecolombia. 'El libro describe un modelo que todo fanático del marketing y las experiencias debe conocer. Es práctico y aplicable a cualquier empresa'. Soledad Moll, Directora de MMA LATAM</p></div> </div>
</div>","Jonatan Loidi y 'Gaita' González presentan un modelo de 10 pasos para la creación y gestión de experiencias mágicas para tu organización. Este libro es el manual de la excelencia en atención al cliente y desarrollo empresarial. Demuestra que la pasión es clave para superar los desafíos. Una invitación a reflexionar, trabajar y cambiar paradigmas para formar parte del 5% que marca la diferencia'. Martín Zuppi, CEO Stellatis Argentina 'Conocí el modelo a partir de una conferencia, y sin dudas me pareció el recorrido ideal para trabajar en la experiencia que una organización puede ofrecer. Hoy este libro forma parte de nuestra agenda de trabajo'. Carolina Del Hoyo, Directora Regional Marketing Fratelli Branca 'Este libro permite enamorarse de la idea de que no existen los límites cuando se trata de satisfacer y hacer felices a nuestros clientes, y a nuestro equipo de trabajo. 100% aplicable a la realidad de Latinoamérica'. Isabel Cristina Sepúlveda Parra, Directora de Experiencia al cliente en Bancolombia. 'Participé de la experiencia en Orlando dos veces. Por tal motivo aseguro que este libro marca un antes y después para la organización y el liderazgo, ofreciendo un camino lógico y simple hacia el éxito, con ejemplos claros'. Carlos Bethancourt, Director ejecutivo Acecolombia. 'El libro describe un modelo que todo fanático del marketing y las experiencias debe conocer. Es práctico y aplicable a cualquier empresa'. Soledad Moll, Directora de MMA LATAM",True,False,False,0.0,ISBN exacto
9780140177398,9780140177398,,9780140177398,OF MICE AND MEN,John Steinbeck,27200.0,ARS,https://www.yenny-elateneo.com/productos/of-mice-and-men,https://acdn-us.mitiendanube.com/stores/004/088/117/products/302716-a03073063d7160a5c317432677056921-1024-1024.webp,https://acdn-us.mitiendanube.com/stores/004/088/117/products/302716-a03073063d7160a5c317432677056921-1024-1024.webp,LIBROS,Penguin Books,Tapa Blanda,Inglés,,,01/2000,,"<div class=""user-content font-small mb-4"">
<div class=""short-description"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: #ffffff; zoom: 1.2;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Formato: </strong>LIBROS</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Editorial:</strong> Penguin Books</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Encuadernación:</strong> Tapa Blanda</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Idioma: </strong>Inglés</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>ISBN: </strong>9780140177398</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><span style=""background-color: transparent;""><strong>N°</strong></span><strong> Páginas: </strong>110</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Dimensiones: </strong>19 x 11 cm</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Fecha Publicación: </strong>01/2000</div> <br/><p><strong>Sinópsis</strong><br/></p></div> </div>
</div>",,True,False,False,0.0,ISBN exacto
