query_raw,isbn_archivo,titulo_archivo,isbn_bookpeople,titulo_bookpeople,autor_bookpeople,precio_bookpeople,moneda_bookpeople,url_bookpeople,imagen_bookpeople,paginas_bookpeople,encuadernacion_bookpeople,editorial_bookpeople,fecha_publicacion_bookpeople,fecha_publicacion_iso_bookpeople,descripcion_bookpeople,acerca_autor_bookpeople,descripcion_raw_html_bookpeople,isbn_match,titulo_match_estricto,titulo_match_relajado,similitud_titulo,motivo_seleccion
9780194906029,9780194906029,,9780194906029,American English File 3e Multipack Starter a Pack,Oxenden,45.1,USD,https://www.bookpeople.com/book/9780194906029,https://images.booksense.com/images/029/906/9780194906029.jpg,0,Paperback,"Oxford University Press, USA","October 15th, 2019",2019-10-15,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9789814629416,9789814629416,,9789814629416,Matemáticas Al Máximo Texto del Estudiante 6 (Matematicas Al Maximo),Scholastic,24.0,USD,https://www.bookpeople.com/book/9789814629416,https://images.booksense.com/images/416/629/9789814629416.jpg,320,Paperback,Scholastic Inc.,"October 8th, 2013",2013-10-08,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194796378,9780194796378,,9780194796378,American English File 2e 5a Multipack 2019,,45.1,USD,https://www.bookpeople.com/book/9780194796378,https://images.booksense.com/images/378/796/9780194796378.jpg,0,Paperback,Oxford,"July 1st, 2019",2019-07-01,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194796330,9780194796330,,9780194796330,American English File 2e 3a Multipack 2019,,45.1,USD,https://www.bookpeople.com/book/9780194796330,https://images.booksense.com/images/330/796/9780194796330.jpg,0,Paperback,Oxford,"July 1st, 2019",2019-07-01,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194796354,9780194796354,,9780194796354,American English File 2e 4a Multipack 2019,,45.1,USD,https://www.bookpeople.com/book/9780194796354,https://images.booksense.com/images/354/796/9780194796354.jpg,0,Paperback,Oxford,"May 13th, 2020",2020-05-13,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194906258,9780194906258,,9780194906258,American English File 3e Multipack 1a Pack,Oxenden,45.1,USD,https://www.bookpeople.com/book/9780194906258,https://images.booksense.com/images/258/906/9780194906258.jpg,0,Paperback,"Oxford University Press, USA","October 15th, 2019",2019-10-15,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194796361,9780194796361,,9780194796361,American English File 2e 4b Multipack 2019,,45.1,USD,https://www.bookpeople.com/book/9780194796361,https://images.booksense.com/images/361/796/9780194796361.jpg,0,Paperback,Oxford,"July 1st, 2019",2019-07-01,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194796316,9780194796316,,9780194796316,American English File 2e 2a Multipack 2019,,45.1,USD,https://www.bookpeople.com/book/9780194796316,https://images.booksense.com/images/316/796/9780194796316.jpg,0,Paperback,Oxford,"July 1st, 2019",2019-07-01,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194906524,9780194906524,,9780194906524,American English File 3e Multipack 2b Pack,Oxenden,45.1,USD,https://www.bookpeople.com/book/9780194906524,https://images.booksense.com/images/524/906/9780194906524.jpg,0,Paperback,"Oxford University Press, USA","October 15th, 2019",2019-10-15,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194906487,9780194906487,,9780194906487,American English File 3e Multipack 2a Pack,Oxenden,45.1,USD,https://www.bookpeople.com/book/9780194906487,https://images.booksense.com/images/487/906/9780194906487.jpg,0,Paperback,"Oxford University Press, USA","October 15th, 2019",2019-10-15,,,,True,False,False,0.0,"ISBN exacto, URL directa"
