ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780194392938,Talk Time 3 Student Book with Audio CD: Everday English Conversation [With CD],Susan Stempleski,"Oxford University Press, USA",De Bolsillo,,"Description
Talk Time is a three-level conversation course that provides speaking and listening practice based on everyday situations. Gentle progression of communicative activities in each lesson makes it ideal for less confident students. The Student CD, included at the back of the Student Book, contains recordings of the conversations to provide students with listening practice outside of the classroom.",,92,,"April 1st, 2007",https://www.bookpeople.com/book/9780194392938,https://images.booksense.com/images/938/392/9780194392938.jpg,bookpeople
9780593244036,Wuthering Heights (Modern Library Torchbearers),Emily Bronte,Modern Library,De Bolsillo,,"Description
The classic tale of tormented love and the inexorable pull of the past, from one of history’s greatest literary talents, w
ith an introduction by Silvia Moreno-Garcia,
New York Times
bestselling author of
Mexican Gothic
When young orphan Heathcliff is adopted by a wealthy gentleman, he quickly forms a close bond with his benefactor’s daughter, Cathy. But over the years, their childhood friendship morphs into a desperate, twisted, possessive love, as they wrestle with the violent and tyrannical rule of Cathy’s brother and the confines of social class that keep them apart. What follows is an ingenious and darkly captivating narrative of frustrated passion and tortured heartbreak reverberating through the generations, wrought with all the brutality, power, and wildness of the Yorkshire moors.
With striking force, Emily Brontë’s mesmerizing prose claws at the nature of human folly, defying the gender, religious, and social mores of its day.
Wuthering Heights
is a transcendent, mystifying masterpiece that examines the cruelty of love, and the ways in which the past, scratching at a windowpane with ghostly fingers, never lets us go.
The Modern Library Torchbearers series features women who wrote on their own terms, with boldness, creativity, and a spirit of resistance.",,384,,"December 7th, 2021",https://www.bookpeople.com/book/9780593244036,https://images.booksense.com/images/036/244/9780593244036.jpg,bookpeople
9781481497077,The Toll (Arc of a Scythe #3),Neal Shusterman,Simon & Schuster Books for Young Readers,De Bolsillo,,"Description
“A furiously paced finale that reaches for the stars.” —
Kirkus Reviews
“Gripping.” —
School Library Journal
(starred review)
“Stellar.” —
Publishers Weekly
(starred review)
In the highly anticipated finale to the
New York Times
bestselling trilogy, dictators, prophets, and tensions rise. In a world that’s conquered death, will humanity finally be torn asunder by the immortal beings it created?
Citra and Rowan have disappeared. Endura is gone. It seems like nothing stands between Scythe Goddard and absolute dominion over the world scythedom. With the silence of the Thunderhead and the reverberations of the Great Resonance still shaking the earth to its core, the question remains: Is there anyone left who can stop him?
The answer lies in the Tone, the Toll, and the Thunder.",,640,,"November 3rd, 2020",https://www.bookpeople.com/book/9781481497077,https://images.booksense.com/images/077/497/9781481497077.jpg,bookpeople
9781631139307,Conoce a Gabriela Mistral (Personajes del Mundo Hispanico),Georgina Lazaro,Loqueleo,De Bolsillo,,"Description
A quiet, shy, and humble little girl grew up to become a very important writer. How important was she? She was the first Latin American writer to receive the Nobel Prize in Literature, the most prestigious award in the world given to writers.",,0,,"January 1st, 2016",https://www.bookpeople.com/book/9781631139307,https://images.booksense.com/images/307/139/9781631139307.jpg,bookpeople
9781631139345,Conoce a Cristbal Coln (Personajes del Mundo Hispanico),Maria Isabel Molina,Loqueleo,De Bolsillo,,"Description
Few people have had as much impact on history as Christopher Columbus. He was certain that his idea of traveling west from Europe was going to change the world, but not even he could imagine how much. He died without knowing that he had discovered a new continent, inhabited by many peoples with new ways of thinking and living. Who was this man who convinced the king and queen of Spain to pay for a voyage that, according to the experts, was a crazy idea?",,0,,"January 1st, 2016",https://www.bookpeople.com/book/9781631139345,https://images.booksense.com/images/345/139/9781631139345.jpg,bookpeople
9781636572994,"Van Gogh Collage Paper for Scrapbooking: Famous Paintings, Fine Art Prints, Vintage Crafts Decorative Paper",Crafty as Ever,Crafty as Ever,De Bolsillo,,"Description
Decorative paper with a Van Gogh Art Collage design for your scrapbook crafts
Specialty designer paper book to cut, tear, and collage
8x8 Inches, Double-sided sheets, non-perforated
Our unique collection of colorful backgrounds and craft paper is perfect for all kinds of crafting, stationery, decoupage, origami, invitations, papercrafts, printmaking, bookbinding, handicraft, handmade paper beads and jewelry, as well as other crafty art projects.",,26,,"July 31st, 2022",https://www.bookpeople.com/book/9781636572994,https://images.booksense.com/images/994/572/9781636572994.jpg,bookpeople
9788491221296,James Y El Melocotón Gigante,Roald Dahl,Loqueleo,De Bolsillo,,"Description
Two very stern aunts make life difficult for a recently orphaned young boy named James. But James receives a precious gift from a mysterious old man and embarks upon a thrilling voyage inside a]]what? Yes, a giant peach.",,0,,"March 1st, 2016",https://www.bookpeople.com/book/9788491221296,https://images.booksense.com/images/296/221/9788491221296.jpg,bookpeople
9789877186499,Valiente (Cuento que te cuenta),Florencia Esses,Ediciones Lea,De Bolsillo,,"Description
Darí              o no le tiene miedo a nada y por eso le gusta que lo llamen Valiente. É              l lleva mensajes de acá               para allá              , cruzando bosques de cactus y pantanos de cangrejos. Pero ahora tiene una nueva misió              n: llevar una carta de su hermana Simona hasta la otra punta del pueblo. ¿              Lo logrará              ? ¿              Será               tan valiente como dice?_x000D_",,24,,"March 1st, 2023",https://www.bookpeople.com/book/9789877186499,https://images.booksense.com/images/499/186/9789877186499.jpg,bookpeople
9789877978186,26 cuentos del mundo / 26 Stories from around the World,Varios autores,El gato de hojalata,Tapa Dura,,"Description
En este libro encontrarás 26 historias de países de todo el mundo.
Índice
Un sombrero para lucirse (México)
Un paseo por los Alpes (Austria)
El gran Ben (Inglaterra)
Cómo bailar la samba (Brasil)
A salto de canguro (Australia)
¡Viva la libertad! (Estados Unidos)
El chocolate más rico del mundo (Suiza)
Mi comida favorita (Japón)
Un concurso emplumado (Argentina)
La pirámide de Giza (Egipto)
El reloj cucú (Alemania)
La sirenita y el Gato de Hojalata (Dinamarca)
Un volcán en el desierto (Chile)
Los tulipanes de la locura (Países Bajos)
La montaña con nieve (Tanzania)
Las joyas de Cartagena (Colombia)
Los ogros conocen la torre Eiffel (Francia)
Un gusano gigante sobre la Tierra (China)
La nonna (Italia)
Por los fiordos con el Gato de Hojalata (Noruega)
Cómo nació la filosofía (Grecia)
La perla del imperio (Perú)
El señor Abdul (Arabia Saudita)
Un safari por el desierto (Namibia)
Una falda muy particular (Escocia)
El ave más rara de todas (Madagascar)
¡Prepárate para compartir relatos emocionantes y divertidos!
ENGLISH DESCRIPTION
In this book, you will find 26 stories from countries around the world.
Table of content
A Hat to Show Off (Mexico)
A Stroll through the Alps (Austria)
The Great Ben (England)
How to Dance the Samba (Brazil)
On Kangaroo's Leap (Australia)
Long Live Freedom! (United States)
The Richest Chocolate in the World (Switzerland)
My Favorite Food (Japan)
A Feathered Contest (Argentina)
The Giza Pyramid (Egypt)
The Cuckoo Clock (Germany)
The Little Mermaid and the Tin Soldier (Denmark)
A Volcano in the Desert (Chile)
The Tulips of Madness (Netherlands)
The Snowy Mountain (Tanzania)
The Jewels of Cartagena (Colombia)
Ogres Meet the Eiffel Tower (France)
A Giant Worm on Earth (China)
The Grandma (Italy)
Through the Fjords with the Tin Soldier (Norway)
How Philosophy Was Born (Greece)
The Pearl of the Empire (Peru)
Mr. Abdul (Saudi Arabia) A Desert Safari (Namibia) A Very Unique Skirt (Scotland)
The Rarest Bird of All (Madagascar)
Get ready to share exciting and fun stories!",,64,,"November 7th, 2023",https://www.bookpeople.com/book/9789877978186,https://images.booksense.com/images/186/978/9789877978186.jpg,bookpeople
9780194392938,TALK TIME 3 SB WITH AUDIO CD,Varios autores,Oxford University Press,Rústica,Métodos y material de inglés,Libro de texto: TALK TIME 3 SB WITH AUDIO CD Texto inglés ed. int,Inglés,,,02/10/2007,https://www.casadellibro.com/libro-talk-time-3-sb-with-audio-cd/9780194392938/2319262,https://imagessl5.casadellibro.com/a/l/t5/38/9780194392938.jpg,casa_del_libro
