ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780194644389,Oxford Read and Discover: Level 4: 750-Word Vocabularyincredible Earth,Richard Northcott,Oxford University Press,De Bolsillo,,,,48,,"July 15th, 2010",https://www.bookpeople.com/book/9780194644389,https://images.booksense.com/images/389/644/9780194644389.jpg,bookpeople
9780194644396,Read and Discover: Level 4: 750-Word Vocabularyall about Ocean Life,Rachel Bladon,Oxford University Press,De Bolsillo,,,,48,,"August 9th, 2010",https://www.bookpeople.com/book/9780194644396,https://images.booksense.com/images/396/644/9780194644396.jpg,bookpeople
9781664350656,100 First Words: My First Lift and Look (with Flaps),Hettie Cox,Tiger Tales,Board book,,"Description
The newest offering in the
My First
collection,
100 First Words
is an exciting, interactive lift-the-flap adventure that includes 100 first words for little ones to learn.
It’s never too early to prepare young children for reading!
100 First Words
is the perfect way to get children engaged in reading while providing an entertaining experience. This board book includes full-color photographs, prompts, and lift-the-flaps throughout to introduce children to a number of early learning concepts, such as colors, shapes, animals, things that go, and more. The durable flaps provide a fun, interactive element while also helping to improve a child’s fine motor skills.",,12,,"February 14th, 2023",https://www.bookpeople.com/book/9781664350656,https://images.booksense.com/images/656/350/9781664350656.jpg,bookpeople
9783836547901,Small Architecture (Bibliotheca Universalis),Philip Jodidio,Taschen,Tapa Dura,,"Description
Over the years, talented architects have occasionally indulged themselves with the
challenge of designing small but perfectly formed buildings
. Today, with reduced budgets, many architects have turned in a more focused way to creating works that may be diminutive in their dimensions, but are definitely big when it comes to trendsetting ideas. Whether in Japanese cities, where large sites are hard to come by, or at the frontier between art and architecture,
small buildings present many advantages, and push their designers to do more with less
.
A dollhouse for Calvin Klein in New York, a playhouse for children in Trondheim, vacation cabins, and housing for victims of natural disasters are all part of the new rush to develop the great small architecture of the moment. The 2013 Pritzker Prize winner
Toyo Ito
is here, but so are emergent architects from Portugal, Chile, England, and New Zealand. From world-famous names to the freshest new talent,
come discover architectural invention on a whole new, small scale
.",,584,,"January 25th, 2017",https://www.bookpeople.com/book/9783836547901,https://images.booksense.com/images/901/547/9783836547901.jpg,bookpeople
9788466350600,De viva voz / Out Loud,Federico Garcia Lorca,Debolsillo,De Bolsillo,,"Description
«Ya improvisara una pantomima o una breve escena teatral, era irresistible. Era como una llama.» -Luis Buñuel
Federico García Lorca es uno de los poetas y dramaturgos más célebres de nuestra literatura, y su obra ha sido ampliamente representada, leída, editada y estudiada desde que fue asesinado en 1936. Menos conocidas, sin embargo, son sus intervenciones públicas. Y allí reside la primicia del presente libro, que reúne por primera vez todas sus conferencias y alocuciones radiofónicas: textos escritos para ser leídos en teatros o como homenaje a alguno de sus amigos poetas. El conjunto no solo revela sus preocupaciones estéticas y sociales, sino que nos acerca a un Lorca directo y desenfadado, que parece seguir hablándonos de viva voz.
FEDERICO GARCÍA LORCA nació en Fuente Vaqueros (Granada) en 1898 y murió fusilado en 1936. Su poesía, traducida a infinidad de lenguas, recorre paisajes, hurga en tradiciones y denuncia injusticias, y sus libros, magistrales, continúan leyéndose sin atender al paso del tiempo ni a los caprichos de la moda.
ENGLISH DESCRIPTION
""Whether he improvised a pantomime or a short theatrical scene, it was irresistible. It was like a flame."" -Luis Buñuel
Federico García Lorca is one of the most famous poets and playwrights in literature, and his work has been widely represented, read, edited and studied since he was assassinated in 1936. Less well known, however, are his public speeches. And therein lies the first fruits of this book, which brings together for the first time all his lectures and radio speeches: texts written to be read in theaters or as a tribute to one of his poet friends. The ensemble not only reveals his aesthetic and social concerns, but also brings us closer to a direct and uninhibited Lorca, who seems to still be speaking to us out loud.
FEDERICO GARCÍA LORCA was born in Fuente Vaqueros (Granada) in 1898 and was shot in 1936. His poetry, translated into countless languages, travels through landscapes, delves into traditions and denounces injustices, and his masterful books continue to be read without regard to the passage of time or the whims of what’s fashionable.",,400,,"April 20th, 2021",https://www.bookpeople.com/book/9788466350600,https://images.booksense.com/images/600/350/9788466350600.jpg,bookpeople
9780194644389,OXFORD READ AND DISCOVER: LEVEL 4: INCREDIBLE EARTH: LEVEL 4: 750-WORD VOCABULARY INCREDIBLE EARTH,CHARLOTTE & PETER FIELL,,,Literatura en otros idiomas,Oxford read and discover: level 4: incredible earth: level 4: 750-word vocabulary incredible earth,,,,,https://www.casadellibro.com/libro-oxford-read-and-discover-level-4-incredible-earth-level-4-750-word-vocabulary-incredible-earth/9780194644389/14029358,https://imagessl4.casadellibro.com/a/l/t1/defecto2.jpg,casa_del_libro
9780194644396,OXFORD READ AND DISCOVER: LEVEL 4: ALL ABOUT OCEAN LIFE: LEVEL 4: 750-WORD VOCABULARY ALL ABOUT OCEAN LIFE,XXX,,,Viajes en bolsillo,Read and discover all about life in and near the oceans... which tree can live in salt water? how do whales breathe?,,,,,https://www.casadellibro.com/libro-oxford-read-and-discover-level-4-all-about-ocean-life-level-4-750-word-vocabulary-all-about-ocean-life/9780194644396/14039510,https://imagessl7.casadellibro.com/a/l/t1/defecto2.jpg,casa_del_libro
9781984854032,"Libros de , página 2 de 332322",BRENE BROWN,,,Libros,,,,,,https://www.casadellibro.com/libro-dare-to-lead/9781984854032/12435509,https://imagessl2.casadellibro.com/a/l/t5/32/9781984854032.jpg,casa_del_libro
9788426739568,"EDUCAR CON 3 CES. CAPACIDADES, COMPETENCIAS Y CORAZÓN",Mar Romera,Marcombo,Rústica,Didáctica y metodología,"Educar con 3 Ces: capacidades, competencias y corazón parte de la premisa de que la educación solo cumple su verdadero propósito cuando incorpora auténticos valores, aquellos que despiertan la sensibilidad en niños y niñas y los acercan a los grandes sentimientos humanos. La propuesta de este modelo consiste en fomentar el respeto por la persona y su potencial, cimentándose en investigaciones actuales, sin descuidar el legado de los clásicos ni la fuerza que otorga la Convención Internacional de los Derechos del Niño. Bajo esta visión, Educar con 3 Ces se presenta como modelo para diseñar proyectos educativos en cualquier centro y etapa del sistema: desde la educación infantil hasta el nivel superior. Ofrece pautas prácticas para guiar tanto la programación de aula como el abordaje cultural y formativo, siempre con el foco puesto en desarrollar las capacidades, entrenar las competencias y cultivar el corazón. La obra también brinda las herramientas necesarias para que los centros aprovechen al máximo su autonomía pedagógica y canalicen la creatividad, el emprendimiento, la innovación y la cooperación del profesorado. Su meta es favorecer un crecimiento global y un aprendizaje compartido, basado en la sensibilidad, el pensamiento crítico y la colaboración. Mar Romera es maestra, licenciada en Pedagogía y Psicopedagogía, especialista en inteligencia emocional, cuenta con dos másteres en inteligencias múltiples e innovación. Es madre y presidenta de la Asociación Pedagógica Francesco Tonucci. Tiene más de 35 años de experiencia docente en todas las etapas del sistema educativo. Es formadora y asesora en el ámbito de la empresa: liderazgo, gestión de equipos, inteligencia y gestión emocional. También es asesora pedagógica en diferentes centros donde se implementa un proyecto de innovación de diseño propio, y es autora y coordinadora del modelo pedagógico Educar con 3 Ces: capacidades, competencias y corazón.",Castellano,270,21.0 cm x 15.0 cm x 2.0 cm,10/03/2025,https://www.casadellibro.com/libro-educar-con-3-ces-capacidades-competencias-y-corazon/9788426739568/16760517,https://imagessl7.casadellibro.com/a/l/t5/68/9788426739568.jpg,casa_del_libro
9788430622313,LA LIBERTAD DE SER LIBRES,Hannah Arendt,Taurus,Tapa Dura,Filosofía contemporánea,"«Leer a Hannah Arendt permite comprender mejor el presente.»Berliner Morgenpost ¿Qué es la libertad y qué significa para nosotros? ¿Consiste solo en la ausencia de miedo y restricciones, o acaso implica también la participación en procesos sociales, con voz política propia, ser escuchado, reconocido y finalmente recordado por otros? Publicado en Estados Unidos en los años sesenta pero inédito hasta hoy en español -y en alemán-, este ensayo refleja el rigor y la fuerza del pensamiento político de Hannah Arendt y condensa con precisión y maestría sus reflexiones sobre la libertad, de gran calado y capaces de conectar de manera asombrosa con los desafíos y peligros de nuestro tiempo. Arendt rastrea el desarrollo histórico de la noción de libertad, en particular, toma en cuenta las revoluciones en Francia y América. Mientras que la primera supuso un punto de inflexión en la historia pero terminó en desastre, la otra fue un éxito triunfal pero se mantuvo como un asunto local. Repensar la idea de revolución se ha vuelto imperioso hoy, y este reencuentro con Hannah Arendt representa el impulso necesario para las nuevas generaciones. La crítica ha dicho:«Hannah Arendt tuvo una fecunda relación con la teoría política, un campo del saber que revindicó con ahínco y que le sirvió para sobrellevar todas las crisis políticas y personales de los amargos tiempos que le tocó vivir. Hoy, como entonces, el vocabulario que empleó para pensar y narrar el mundo, sus reflexiones y esa escritura tan bella, tan suya, nos ayudan a interpretar lo que nos ocurre, aunque solo sea como simplesenanos mirando el mundo a hombros de gigantes. Ella, desde luego, lo fue.»Máriam Martínez-Bascuñán, Babelia, El País «Este ensayo recién redescubierto es como una petición de compromiso político en la era de Trump.»Die Zeit «Pese a haber sido escrito hace cincuenta años, es tan moderno que parece pensado para la actualidad política mundial.»Westdeutscher Rundfunk «Breve y revelador. Escrito hace más de cincuenta años, es de una vigencia pasmosa.»Deutschlandfunk Kultur «Una pieza muy atractiva y perdida por largo tiempo.»Süddeutsche Zeitung «Este texto tiene futuro hoy.»Frankfurter Rundschau «Un texto muy sugerente, que además es perfecto para los recién llegados a Arendt.»Zeitzeichen «Un ensayo inspirador de una relevancia extraordinaria, especialmente en tiempos en que se cuestionan los valores liberales del orden democrático.»Philosophie «Lo que parece un análisis preciso de la fallida construcción de la nación por medios militares,desde Somalia hasta Irak y Afganistán, en realidad tiene cinco décadas de antigüedad.»Westdeutsche Allgemeine Zeitung «Vale la pena leerlo por la claridad de su razonamiento, por ejemplo a la hora de fijar el concepto de ""revolución"" y reflejar su cambio histórico de significado.»Badische Neueste Nachrichten",Castellano,96,22.1 cm x 13.8 cm x 1.3 cm,08/11/2018,https://www.casadellibro.com/libro-la-libertad-de-ser-libres/9788430622313/7124359,https://imagessl2.casadellibro.com/a/l/t5/13/9788430622313.jpg,casa_del_libro
9788432240676,PUTZI. EL CONFIDENTE DE HITLER,Thomas Snégaroff,Seix Barral,Rústica,Narrativa extranjera,"COLECCIÓN GEOPOLÍTICA ILUSTRADA: LIBROS PARA ENTENDER EL MUNDO DE UN VISTAZO ¿Modelo para el resto del mundo o utopía fallida?La verdadera historia de la democracia estadounidense. 6 fechas clave y 30 preguntas para comprender las raíces de una de las crisis políticas más complejas de nuestro tiempo y sus consecuencias para el resto del mundo. Un libro esencial para entender por qué la democracia más poderosa del planeta está en la cuerda floja. A través de momentos clave en su historia como la guerra de Independencia o el asalto al Capitolio, este libro desentraña las tensiones de un sistema que inspiró a muchas naciones y que hoy parece más frágil que nunca. Un análisis claro, riguroso y accesible, con mapas, infografías, cronologías y documentos históricos, pensado para quienes buscan comprender, de forma ágil, pero con profundidad, la crisis democrática de Estados Unidos y su impacto en el equilibrio geopolítico global.",Castellano,400,23.0 cm x 13.3 cm x 2.7 cm,04/05/2022,https://www.casadellibro.com/libro-putzi-el-confidente-de-hitler/9788432240676/12823552,https://imagessl2.casadellibro.com/a/l/t5/76/9788432240676.jpg,casa_del_libro
