ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780063157798,After That Night: A Will Trent Thriller,Karin Slaughter,William Morrow Paperbacks,De Bolsillo,,"Description
WATCH
WILL TRENT
ON ABC!
New York Times
Bestseller
GBI investigator Will Trent and medical examiner Sara Linton are back in this electrifying thriller from #1
New York Times
bestselling author Karin Slaughter.
“Enter the world of Karin Slaughter. Just be forewarned, there’s no going back.” —Lisa Gardner
After that night, everything changed . . .
Fifteen years ago
, Sara Linton’s life changed forever when a celebratory night out ended in a violent attack that tore her world apart. Since then, Sara has remade her life. A successful doctor, engaged to a man she loves, she has finally managed to leave the past behind her.
Until one evening
, on call in the ER, everything changes. Sara battles to save a broken young woman who’s been brutally attacked. But as the investigation progresses, led by GBI Special Agent Will Trent, it becomes clear that Dani Cooper’s assault is uncannily linked to Sara’s.
And the past isn’t going to stay buried forever . . .",,432,,"February 13th, 2024",https://www.bookpeople.com/book/9780063157798,https://images.booksense.com/images/798/157/9780063157798.jpg,bookpeople
9780143129455,The Call of Cthulhu and Other Weird Stories: (Penguin Orange Collection),H. P. Lovecraft,Penguin Classics,De Bolsillo,,"Description
Part of the Penguin Orange Collection, a limited-run series of twelve influential and beloved American classics in a bold series design offering a modern take on the iconic Penguin paperback
Winner of the 2016 AIGA + Design Observer 50 Books | 50 Covers competition
For the seventieth anniversary of Penguin Classics, the Penguin Orange Collection celebrates the heritage of Penguin’s iconic book design with twelve influential American literary classics representing the breadth and diversity of the Penguin Classics library. These collectible editions are dressed in the iconic orange and white tri-band cover design, first created in 1935, while french flaps, high-quality paper, and striking cover illustrations provide the cutting-edge design treatment that is the signature of Penguin Classics Deluxe Editions today.
The Call of Cthulhu and Other Weird Stories
Frequently imitated and widely influential, Howard Phillips Lovecraft reinvented the horror genre in the twentieth century, discarding ghosts and witches and instead envisioning mankind as a tiny outpost of dwindling sanity in a chaotic and malevolent universe. This definitive collection reveals the development of Lovecraft’s mesmerizing narrative style and establishes him as a canonical—and visionary—American writer.",,368,,"October 18th, 2016",https://www.bookpeople.com/book/9780143129455,https://images.booksense.com/images/455/129/9780143129455.jpg,bookpeople
9780307389008,Legacy of Ashes: The History of the CIA,Tim Weiner,Vintage,De Bolsillo,,"Description
NEW YORK TIMES
BESTSELLER • NATIONAL BOOK AWARD WINNER • With shocking revelations that made headlines all across the country, Pulitzer Prize–winning journalist Tim Weiner gets at the truth behind the CIA and uncovers why nearly every CIA director has left the agency in worse shape than he found it, and how these profound failures jeopardize our national security.
""
For anyone interested in the CIA or American intelligence since World War II.” —
The Washington Post
A
Kirkus Reviews
Best Nonfiction Book of the Century • The precursor to the
New York Times
bestseller
The Mission
For years, the CIA has managed to maintain a formidable reputation in spite of its terrible record, burying its blunders in top-secret archives. Its mission was to know the world. When it did not succeed, it set out to change the world. Its failures have handed us, in the words of President Eisenhower, “a legacy of ashes.”
Now Pulitzer Prize–winning author Tim Weiner offers a definitive history of the CIA—and everything is on the record. LEGACY OF ASHES is based on more than 50,000 documents, primarily from the archives of the CIA itself, and hundreds of interviews with CIA veterans, including ten Directors of Central Intelligence. It takes the CIA from its creation after World War II, through its battles in the cold war and the war on terror, to its near-collapse after 9/ll.
Here is the hidden history of the CIA: why eleven presidents and three generations of CIA officers have been unable to understand the world; why nearly every CIA director has left the agency in worse shape than he found it; and how these failures have profoundly jeopardized our national security.",,848,,"May 20th, 2008",https://www.bookpeople.com/book/9780307389008,https://images.booksense.com/images/008/389/9780307389008.jpg,bookpeople
9780385490818,The Handmaid's Tale: A Novel,Margaret Atwood,Vintage,De Bolsillo,,"Description
#1
NEW YORK TIMES
BESTSELLER
• An instant classic and eerily prescient cultural phenomenon, from “the patron saint of feminist dystopian fiction” (
The New York Times
) • The sixth and final season of the award-winning Hulu series starring Elisabeth Moss is now streaming
Look for
The Testaments
, the
bestselling, award-winning
sequel to
The Handmaid’s Tale
In Margaret Atwood’s dystopian future, environmental disasters and declining birthrates have led to a Second American Civil War. The result is the rise of the Republic of Gilead, a totalitarian regime that enforces rigid social roles and enslaves the few remaining fertile women. Offred is one of these, a Handmaid bound to produce children for one of Gilead’s commanders. Deprived of her husband, her child, her freedom, and even her own name, Offred clings to her memories and her will to survive. At once a scathing satire, an ominous warning, and a tour de force of narrative suspense,
The Handmaid’s Tale
is a modern classic.
Includes an introduction by Margaret Atwood",,336,,"March 16th, 1998",https://www.bookpeople.com/book/9780385490818,https://images.booksense.com/images/818/490/9780385490818.jpg,bookpeople
9780394800936,My Book About Me By ME Myself (Classic Seuss),Dr. Seuss,Random House Books for Young Readers,Tapa Dura,,"Description
Tell   your own story with a little help from Dr. Seuss in this DIY dream activity   book that's all about YOU! A perfect gift to celebrate a new school   year, birthdays, milestones and all the amazing things YOU accomplish!
How tall are YOU? How many teeth do YOU have? Where do YOU live? What do   YOU like to eat?
Kids will answer these questions and more, celebrating their unique selves   while creating their very own biographies in this classic activity book from   Dr. Seuss, illustrated by Roy Mckie. With fill-in-the-blanks, lists, check   boxes, and drawing prompts, this book allows readers to write and draw right   on the fun-filled pages! From the number of freckles you have, to the kind of   house you live in, to the silly animal sounds you can make, Dr. Seuss guides   kids through an interactive reading experience with a creative spark. The   perfect gift for special birthdays or for year-round fun, this book will hold   special memories long after it's filled in.",,72,,"September 12th, 1969",https://www.bookpeople.com/book/9780394800936,https://images.booksense.com/images/936/800/9780394800936.jpg,bookpeople
9780593137642,Pride and Puzzlement: A Jane Austen Puzzle: A 1000-Piece Jigsaw Puzzle Featuring Literature's Most Beloved Characters and Couples: Jigsaw Puzzles for Adults,Jacqui Oakley,Clarkson Potter,Game,,"Description
Bring Austen’s enduring novels to life with this whimsical 1000-piece puzzle from noted Jane Austen artist Jacqui Oakley.
• This exquisitely detailed puzzle features characters from Austen’s beloved novels, including Elizabeth Bennet and Mr. Darcy from
Pride and Prejudice
, Emma and Mr. Knightley from
Emma
, Elinor and Marianne Dashwood from
Sense and Sensibility
, and others.
• Sturdy puzzle pieces fit perfectly together, are virtually dust-free with minimal glare, and are designed for easy handling. Pieces are stored in polybag to avoid damage.
• Gorgeous illustrations make it perfect to display once finished or take it apart and complete it again for endless fun.
• Perfect for longtime Austen fans and new readers alike!",,1000,,"March 30th, 2021",https://www.bookpeople.com/book/9780593137642,https://images.booksense.com/images/642/137/9780593137642.jpg,bookpeople
9780593352939,The Crayons' Book of Feelings (My First Crayons),Drew Daywalt,Philomel Books,Board book,,"Description
The Crayons are back in this small board book all about feelings, from the creators of the #1
New York Times
bestseller
The Day Crayons Quit
. The perfect way to bring the fun of the Crayons to their youngest fanbase!
The crayons have so many feelings.
Have you ever felt the way they do?
Everyone knows the Crayons love to color, but did you know that Crayons have feelings too? Sometimes they are happy, and sometimes they feel downright blue.
From the creative minds behind
The Day the Crayons Quit
and
The Day the Crayons Came Home
, comes a fun approach to helping young readers understand and express their feelings.",,22,,"May 4th, 2021",https://www.bookpeople.com/book/9780593352939,https://images.booksense.com/images/939/352/9780593352939.jpg,bookpeople
9780593544891,The Daily Stoic Boxed Set,Ryan Holiday,Portfolio,Boxed Set,,"Description
A new package for the book that has spent over 300 weeks on the bestseller lists!
The perfect gift for anyone seeking to add serenity, self-knowledge, and resilience into their lives—
The Daily Stoic
and
The Daily Stoic Journal
, conveniently together in a beautiful boxed set.
This is the ONLY authorized hardcover boxed set of these two books in the U.S.
For more than two thousand years, Stoic philosophy has been the secret operating system of wise leaders, artists, athletes, brilliant thinkers, and ordinary citizens. What makes this ancient philosophy so vital that it has stood the test of time? And how can it be mastered amidst the chaos of our everyday, modern life?
The Daily Stoic
has brought Stoic philosophy to millions of readers around the world in the form of an easily digestible, day-by-day devotional, featuring modern translations of the best of Stoic writings paired with practical meditations on applying their wisdom to our daily lives. With its companion book,
The Daily Stoic Journal
, new devotees to Stoicism can make a daily practice of the powerful morning and evening review pioneered by the Stoics, progressing through a series of 52 weekly themes that feature the core themes and practices needed to integrate Stoicism into our 21st century lives. Both books feature the very best wisdom from Marcus Aurelius, Seneca, Epictetus, Musonius Rufus, and many other lesser known Stoics. And now, for the first time, this boxed set offers both the devotional and the journal to help readers fully absorb and benefit from all that Stoicism offers.
The Daily Stoic
Boxed Set provides 366 days of Stoic insights, meditations, and teachings that can be enjoyed each day and be revisited for years to come.",,0,,"April 18th, 2023",https://www.bookpeople.com/book/9780593544891,https://images.booksense.com/images/891/544/9780593544891.jpg,bookpeople
9780593580141,The Chess Deck: 50 Cards for Mastering the Basics,Levy Rozman,Clarkson Potter,Cards,,"Description
Learn about chess tactics and test your skills with this oversize deck of 54 cards from the
New York Times
bestselling author of
How to Win at Chess,
International Master and YouTube’s top chess teacher Levy Rozman (aka GothamChess).
Chess is all about practice. With this interactive, immersive deck of 54 cards, Levy Rozman distills the most important information players need to know in order to practice right. Fifty cards with chessboard diagrams feature the best openings for black and white; tactics to know like forks, pins, and skewers; historical games to learn from; and brainteasers to test your skills. Two introductory cards explain how each of the six pieces moves and how to understand chess notation so you can analyze positions.
Suitable for those who have a rudimentary understanding of chess but challenging enough for more seasoned players,
The Chess Deck
will help ensure victory. Checkmate awaits!",,54,,"October 22nd, 2024",https://www.bookpeople.com/book/9780593580141,https://images.booksense.com/images/141/580/9780593580141.jpg,bookpeople
9780593581490,"Everyday Creativity: Prompts, Activities, and Faith-Filled Practices to Cultivate Your Gifts",Jena Holliday,Ink & Willow,De Bolsillo,,"Description
From the celebrated artist behind
Sacred Creativity
and Spoonful of Faith comes an interactive guide and journal that will help hone and honor your creative gifts from start to finish.
Artist and mentor Jena Holliday guides you through your creative journey in this fun and practical journal for the dreamer, the writer, the artist, the maker, and anyone in between. This five-part guide helps bring your creative ideas to life, providing you with
• practical ways to get you out of your head
• blank slates to encourage brain dumps
• space to create mood boards and set goals
• challenges to unlock new thoughts and ideas
• reflections and celebrations to mark your journey
Each prompt will propel you forward, keep you from getting stuck along the way, and help your creativity flourish.
Something beautiful happens when we take ideas from concept to completion: We get to walk in the beauty of living and breathing everyday creativity, just as our Creator intended.",,144,,"March 18th, 2025",https://www.bookpeople.com/book/9780593581490,https://images.booksense.com/images/490/581/9780593581490.jpg,bookpeople
9780593855942,All We Lost Was Everything,Sloan Harlow,G.P. Putnam's Sons Books for Young Readers,De Bolsillo,,"Description
A sexy, dark romantic thriller—with a shocking twist—by the author of
Everything We Never Said
.
Perfect for fans of
Binding 13
!
When eighteen-year-old River Santos’s house burned down, she lost everything. Her clothes. Her guitar. Her songbook.
Most importantly, she lost her father.
But when someone anonymously donates
two million dollars
to her GoFundMe, it’s like she’s won the worst sort of lottery. She’s a millionaire, but at what cost?
With every person who comes into the diner where she works, she wonders, ""Was it you?"" The only person she’s sure
didn’t
donate the money is her extremely hot—and extremely standoffish—coworker, Logan Evans. Ever since he started at the diner, he’s acted like he hates her. Which is why she’s shocked when he helps her save face in front of her ex…
Their attraction can’t be denied, but when River discovers a long-hidden family secret, she suddenly finds herself questioning everyone in her life. Her dad, who wasn’t as perfect as he seemed. Her chaotic mother, who left without so much as a goodbye at the beginning of her senior year. The anonymous donor, whose intentions may not have been altruistic after all. And most especially Logan, who has dark secrets of his own.
After the fire, River thought she had hit rock bottom. But as it turns out, there’s always more to lose…",,352,,"May 6th, 2025",https://www.bookpeople.com/book/9780593855942,https://images.booksense.com/images/942/855/9780593855942.jpg,bookpeople
9780679866954,Junie B. Jones #6: Junie B. Jones and that Meanie Jim's Birthday,Barbara Park,Random House Books for Young Readers,De Bolsillo,,"Description
THE #1
NEW YORK TIMES
BESTSELLING SERIES WITH OVER 80 MILLION COPIES SOLD • It’s the meanest kid in Room Nine’s birthday, and Junie B. is the only one without an invitation to his party. But being left out might not be so bad in the hit chapter book series that keeps kids laughing and “makes reading fun” (Dav Pilkey, author of
Dog Man
).
“Junie B. is the darling of the young-reader set.”—
USA Today
Meet the World’s Funniest Kindergartner—Junie B. Jones! The meanest boy in Room Nine has invited everyone to his birthday party on Saturday—except Junie B.! Should she throw her own party and not invite him? Or should she move to “It’s A Small World” in Disneyland? Maybe she can convince her friends not to go too? Being the only one not doing something can be lonely—but that also means she can be the only one doing something
else
instead!
From acclaimed author Barbara Park, this hilarious series—starring the wittiest, sassiest kindergartener around—is sure to be laugh-out-loud fun for the whole family!
Junie B. Jones is now starring in her own graphic novels, starting with
Junie B. Jones and the Stupid Smelly Bus
and
Junie B. Jones and a Little Monkey Business
!",,96,,"April 14th, 1996",https://www.bookpeople.com/book/9780679866954,https://images.booksense.com/images/954/866/9780679866954.jpg,bookpeople
9780803736801,Dragons Love Tacos,Adam Rubin,Dial Books,Tapa Dura,,"Description
A #1
New York Times
bestselling phenomenon, this deliciously funny read-aloud is an unforgettable tale of new friends and the perfect snack that will make you laugh until spicy salsa comes out of your nose.
Dragons love tacos. They love chicken tacos, beef tacos, great big tacos, and teeny tiny tacos. So if you want to lure a bunch of dragons to your party, you should definitely serve tacos. Buckets and buckets of tacos. Unfortunately, where there are tacos, there is also salsa. And if a dragon accidentally eats spicy salsa . . . oh, boy. You're in red-hot trouble.
This makes the perfect gift for any special occasion, from award-winning team of Adam Rubin and Daniel Salmieri who created
Dragons Love Tacos 2: The Sequel
,
El Chupacabras
,
High Five
,
Robo-Sauce, and Secret Pizza Party.",,40,,"June 14th, 2012",https://www.bookpeople.com/book/9780803736801,https://images.booksense.com/images/801/736/9780803736801.jpg,bookpeople
9781338814491,The Captain Underpants Double-Crunchy Book o' Fun: Color Edition (From the Creator of Dog Man),Dav Pilkey,Scholastic Inc.,Tapa Dura,,"Description
The Captain Underpants Double-Crunchy Book o' Fun includes comics, puzzles, jokes, Flip-O-Ramas, and more, all in full color!
The Captain Underpants Double-Crunchy Book o' Fun is a selection of stories, comics, puzzles, jokes, Flip-O-Ramas, and other fun stuff from The Captain Underpants Extra-Crunchy Book o' Fun and The All New Captain Underpants Extra-Crunchy Book o' Fun 2, now in full color!
Come join George and Harold and their wedgie-powered superhero, Captain Underpants, as they show you how to make your very own comic books. Draw your favorite characters, tell cheesy jokes, solve Professor Poopypants's Preposterous Puzzles, race to the finish line in crazy mazes, create your own Captain Underpants stories, read ""Hairy Potty and the Underwear of Justice,"" watch action-packed Flip-O-Ramas, and so much more -- all in full color!
Tra-la-laaaaa! It's laugh-out-loud-fun!",,128,,"November 29th, 2022",https://www.bookpeople.com/book/9781338814491,https://images.booksense.com/images/491/814/9781338814491.jpg,bookpeople
9781338875645,Karen's New Year (Baby-sitters Little Sister #14),Ann M. Martin,Scholastic Inc.,De Bolsillo,,"Description
It's fun to be a Baby-sitters' Little Sister!
For New Year's Eve, Karen thinks everyone should make a promise. Hannie is going to stop biting her nails. Kristy promises not to talk to her boyfriend on the phone so much. And Karen makes the most promises of all — nine!
But pretty soon, everyone starts breaking their promises. And her brothers and sisters are calling Karen a spy!
Poor Karen. Why is everyone being bad except her?",,112,,"December 26th, 2023",https://www.bookpeople.com/book/9781338875645,https://images.booksense.com/images/645/875/9781338875645.jpg,bookpeople
9781339037653,Karen's In Love (Baby-sitters Little Sister #15),Ann M. Martin,Scholastic Inc.,De Bolsillo,,"Description
It's fun to be a Baby-sitters' Little Sister!
At first, Karen and Ricky were enemies. But now they like each other. They are even going to get married. Only now Karen and Ricky are in a big fight! First Karen puts gum in Ricky’s desk. Then Ricky calls Karen Four-eyes. Will Karen and Ricky make up . . . or break up?",,112,,"November 12th, 2024",https://www.bookpeople.com/book/9781339037653,https://images.booksense.com/images/653/037/9781339037653.jpg,bookpeople
9781464221132,The Housemaid Is Watching,Freida McFadden,Poisoned Pen Press,De Bolsillo,,"Description
A twisting, pulse-pounding thriller from Freida McFadden, the
New York Times
bestselling author of
The Housemaid
and
The Coworker
""You must be our new neighbors!"" Mrs. Lowell gushes and waves across the picket fence. I clutch my daughter's hand and smile back: but the second Mrs. Lowell sees my husband a strange expression crosses her face. In that moment I make a promise. We finally have a family home. My past is far, far behind us. And I'll do anything to keep it that way…
I used to clean other people's houses—now, I can't believe this home is actually mine. The charming kitchen, the quiet cul-de-sac, the huge yard where my kids can play. My husband and I saved for years to give our children the life they deserve.
Even though I'm wary of our new neighbor Mrs. Lowell, when she invites us over for dinner it's our chance to make friends. Her maid opens the door wearing a white apron, her hair in a tight bun. I know exactly what it's like to be in her shoes. But her cold stare gives me chills…
The Lowells' maid isn't the only strange thing on our street. I'm sure I see a shadowy figure watching us. My husband leaves the house late at night. And when I meet a woman who lives across the way, her words chill me to the bone:
Be careful of your neighbors.
Did I make a terrible mistake moving my family here?
I thought I'd left my darkest secrets behind.
But could this quiet suburban street be the most dangerous place of all?
From
New York Times
,
USA Today
and
Wall Street Journal
bestselling author Freida McFadden comes the next installment of the unbelievably twisty, tension-packed and globally bestselling
Housemaid
series. This book can be enjoyed as a standalone read: and once you start, it will have you up all night racing through the pages until the final explosive twist.",,400,,"June 11th, 2024",https://www.bookpeople.com/book/9781464221132,https://images.booksense.com/images/132/221/9781464221132.jpg,bookpeople
9781544534077,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,Lioncrest Publishing,De Bolsillo,,"Description
This is not a self-help book. It's a wake-up call
Can't Hurt Me,
David Goggins
' smash hit memoir, demonstrated how much untapped ability we all have but was merely an introduction to the power of the mind. In Never Finished, Goggins takes you inside his
Mental Lab
, where he developed the philosophy, psychology, and strategies that enabled him to learn that what he thought was his limit was only his beginning and that the quest for greatness is unending.
The stories and lessons in this raw, revealing, unflinching memoir offer the reader a blueprint they can use to climb from the bottom of the barrel into a whole new stratosphere that once seemed unattainable. Whether you feel off-course in life, are looking to maximize your potential or drain your soul to break through your so-called glass ceiling, this is the only book you will ever need.",,312,,"December 6th, 2022",https://www.bookpeople.com/book/9781544534077,https://images.booksense.com/images/077/534/9781544534077.jpg,bookpeople
9781544534701,Nunca terminar: Desencadena tu mente y gana la guerra interior,David Goggins,Lioncrest Publishing,De Bolsillo,,"Description
M's de 1 mill n de copias vendidas
Esto no es un libro de autoayuda.  Es una llamada de atenci n  No me puedes lastimar, el gran  xito autobiogr fico de
David Goggins
, demostr  cu nta capacidad sin explotar todos tenemos, pero fue apenas una introducci n al poder de la mente. En Nunca terminar, Goggins te lleva al interior de su
Laboratorio Mental
, donde desarroll  la filosof a, psicolog a y estrategias que le permitieron descubrir que aquello que consideraba su l mite era tan's lo el punto de partida y que la b squeda por la grandeza no tiene fin. Los relatos y lecciones en estas honestas, reveladoras e inquebrantables memorias ofrecen al lector un modelo a seguir para ascender desde el fondo del barril hasta una estrat sfera completamente nueva que antes parec a inalcanzable. Si sientes que has perdido el rumbo en la vida, o est's buscando maximizar tu potencial o drenar tu alma para romper tu llamado techo de cristal, este es el  nico libro que necesitar's.",,346,,"February 10th, 2023",https://www.bookpeople.com/book/9781544534701,https://images.booksense.com/images/701/534/9781544534701.jpg,bookpeople
9781546110279,Karen's Goldfish (Baby-sitters Little Sister #16),Ann M. Martin,Scholastic Inc.,De Bolsillo,,"Description
It's fun to be a Baby-sitters' Little Sister!
Karen and her little brother Andrew are getting new pets — goldfish! Karen names hers Crystal Light. Andrew's is called Goldfishie. Karen and Andrew love to watch their fish swim around and around.
Then something happens to Crystal Light, and Karen is so sad. Nothing can make her feel better...until Karen's witchy neighbor saves the day!",,112,,"March 4th, 2025",https://www.bookpeople.com/book/9781546110279,https://images.booksense.com/images/279/110/9781546110279.jpg,bookpeople
9781546132639,"Bob Books - Long Vowels Flashcards | Phonics, Ages 4 and up, Kindergarten (Stage 3: Developing Reader)",Scholastic,Scholastic Inc.,Mixed media product,,"Description
Created by a teacher, Bob Books have been helping children learn to read for more than forty years. These colorful flashcards based on the bestselling learn-to-read program are a fun way for children to strengthen their phonics skills.
These playful flashcards are the perfect companion to the Bob Books Stage 3 box sets, but can be enjoyed by any child who is learning to recognize the many ways long vowels appear in their reading materials. From silent e to vowel teams, long vowels represent a big jump in reading skills. Now kids can practice this important skill with colorful flashcards featuring their favorite Bob Books characters!
The Science of Reading shows that young readers need to encounter letters, sounds, and words many times to build automaticity -- the ability to read quickly, accurately, and effortlessly. This flashcard set, complete with its convenient box, is a fun way to help build reading automaticity at home or on the go!
Inside the box, you'll find:
40 decodable word flashcards with word on one side and picture + word on the other side
1 word list card
6 activity cards with flashcard game ideas and other fun activities
1 parent card with tips for helping your child build skills through flashcard play
Other fun features:
Perfect size for little hands to hold
Big, clear words and full-color pictures
One rounded corner for quick sorting
Easy to take on the go or use at home
Help build reading automaticity
Great companion to these Bob Books learn-to-read sets: Bob Books Word Families; Bob Books Complex Words; Bob Books Long Vowels
Ages 4-6; Pre-K to First Grade
Bob Books' phonics-based method aligns with the body of research known as the Science of Reading, which proves that systematic phonics instruction is crucial to children's reading success. With simple phonics, playful stories, and silly illustrations, Bob Books keep young readers' confidence high, leading to continued success and a love of reading. Your child will soon join the millions of happy kids who say, ""I read the whole book!""",,48,,"November 12th, 2024",https://www.bookpeople.com/book/9781546132639,https://images.booksense.com/images/639/132/9781546132639.jpg,bookpeople
9781644213810,Cómo no ahogarse en un vaso de agua,Angie Cruz,Siete Cuentos,De Bolsillo,,"Description
From the beloved author of
Dominicana
, a GMA Book Club Pick and Women’s Prize Finalist, this is the Spanish language edition of an electrifying and indelible novel about a woman who has lost everything but the chance to finally tell her story.
“Will have you laughing line after line...Cruz aims for the heart, and fires.” —
Los Angeles Times
""An endearing portrait of a fierce, funny woman."" —
The Washington Post
Cara Romero creía que trabajaría en una fábrica de lámparas pequeñas por el resto de su vida. Pero cuando, a los cincuenta años, pierde su trabajo en la Gran Recesión, se ve obligada a volver al mercado laboral por la primera vez en décadas. Con el apoyo de un consejero laboral, en vez, Cara comienza a narrar la historia de su vida. En el transcurso de doce sesiones, Cara recuenta sus amoríos tempestuosos, sus relaciones por turnos hirientes y amorosas con su vecina Lulu y su hermana Ángela, sus luchas contra las deudas, la gentrificación y las perdidas, y, eventualmente, lo que realmente sucedió entre ella y su hijo distanciado, Fernando. A medida que Cara enfrenta sus secretos más oscuros y sus arrepentimientos, vemos a una mujer golpeada por la vida, pero que sigue siendo una luchadora. Estructuralmente creativa y emocionalmente caleidoscópica,
Cómo no ahogarse en un vaso de agua
es la novela más ambiciosa y conmovedora de Angie Cruz hasta el momento, y Cara es una heroína para la posteridad.
Cara Romero thought she would work at the factory of little lamps for the rest of her life. But when, in her mid-50s, she loses her job in the Great Recession, she is forced back into the job market for the first time in decades. Set up with a job counselor, Cara instead begins to narrate the story of her life. Over the course of twelve sessions, Cara recounts her tempestuous love affairs, her alternately biting and loving relationships with her neighbor Lulu and her sister Angela, her struggles with debt, gentrification and loss, and, eventually, what really happened between her and her estranged son, Fernando. As Cara confronts her darkest secrets and regrets, we see a woman buffeted by life but still full of fight. Structurally inventive and emotionally kaleidoscopic,
How Not to Drown in a Glass of Water
is Angie Cruz’s most ambitious and moving novel yet, and Cara is a heroine for the ages.",,224,,"June 11th, 2024",https://www.bookpeople.com/book/9781644213810,https://images.booksense.com/images/810/213/9781644213810.jpg,bookpeople
