url_detalle,titulo,autor,isbn,precio,descripcion,info_adicional,portada_url
https://www.ellector.com.py/productos/eres-mi-gatito-tocar-y-sentir-id-lKYjHop.html,Eres Mi Gatito Tocar y Sentir,,9789915677484,70000,Eres Mi Gatito Tocar y Sentir,"{""moneda"": ""PYG"", ""formato"": ""--"", ""tapa"": """", ""encuadernacion"": ""-"", ""idioma"": ""Español"", ""editorial"": ""Latinbooks"", ""paginas"": """", ""fecha_edicion"": """", ""medidas"": """", ""_tabla_adicional"": {""idioma"": ""ESPAÑOL"", ""editorial"": ""LATINBOOKS""}}",
https://www.ellector.com.py/productos/disney-pixar-un-planeta-extrano-id-Nwjyi8J.html,Disney Pixar Un Planeta Extraño,,9789877979589,45000,Disney Pixar Un Planeta Extraño,"{""moneda"": ""PYG"", ""formato"": ""--"", ""tapa"": """", ""encuadernacion"": ""-"", ""idioma"": ""Español"", ""editorial"": ""El Gato De Hojalata"", ""paginas"": """", ""fecha_edicion"": """", ""medidas"": """", ""_tabla_adicional"": {""idioma"": ""ESPAÑOL"", ""editorial"": ""EL GATO DE HOJALATA""}}",
https://www.ellector.com.py/productos/raya-y-el-ultimo-dragon-id-bDNKUyv.html,Raya y El Ultimo Dragon,,9789877979640,40000,Raya y El Ultimo Dragon,"{""moneda"": ""PYG"", ""formato"": ""--"", ""tapa"": """", ""encuadernacion"": ""-"", ""idioma"": ""Español"", ""editorial"": ""Editorial Guadal"", ""paginas"": """", ""fecha_edicion"": """", ""medidas"": """", ""_tabla_adicional"": {""idioma"": ""ESPAÑOL"", ""editorial"": ""EDITORIAL GUADAL""}}",
https://www.ellector.com.py/productos/curiosamente-–-historia-y-cultura-id-5K16hoA.html,Curiosamente – Historia y Cultura,,9789915680446,120000,Curiosamente – Historia y Cultura,"{""moneda"": ""PYG"", ""formato"": ""--"", ""tapa"": """", ""encuadernacion"": ""-"", ""idioma"": ""Español"", ""editorial"": ""Latinbooks"", ""paginas"": """", ""fecha_edicion"": """", ""medidas"": """", ""_tabla_adicional"": {""idioma"": ""ESPAÑOL"", ""editorial"": ""LATINBOOKS""}}",
https://www.ellector.com.py/productos/alicia-en-el-pais-de-las-maravillas-colorearte-kids-id-4Nwrfd1.html,Alicia En El Pais De Las Maravillas. Colorearte Kids,,9789915686400,35000,Alicia En El Pais De Las Maravillas. Colorearte Kids,"{""moneda"": ""PYG"", ""formato"": ""--"", ""tapa"": """", ""encuadernacion"": ""-"", ""idioma"": ""Español"", ""editorial"": ""Latinbooks"", ""paginas"": """", ""fecha_edicion"": """", ""medidas"": """", ""_tabla_adicional"": {""idioma"": ""ESPAÑOL"", ""editorial"": ""LATINBOOKS""}}",
https://www.ellector.com.py/productos/dog-man:-big-jim-begins-id-JR8EUgM.html,Dog Man: Big Jim Begins,Dav Pilkey,9781338896459,160000,Dog Man: Big Jim Begins,"{""moneda"": ""PYG"", ""formato"": ""--"", ""tapa"": """", ""encuadernacion"": ""-"", ""idioma"": ""Español"", ""editorial"": ""Scholastic"", ""paginas"": """", ""fecha_edicion"": """", ""medidas"": """", ""_tabla_adicional"": {""idioma"": ""ESPAÑOL"", ""editorial"": ""SCHOLASTIC""}}",
https://www.ellector.com.py/productos/old-mac-donald-a-hand-puppet-id-kBaOFlN.html,Old Mac Donald A Hand Puppet,,9780545026031,140000,"From Little Scholastic comes this innovative and interactive hand-puppet board book for babies and toddlers.Ages: 0-2. Parent and child can quack-quack and moo-moo away while they play and touch the five farm animal finger puppets: a duck, a cow, a pig, a cat, and a dog.Introducing Little Scholastic, a developmental publishing program of interactive books created exclusively to give babies and toddlers a head start in learning.Every book features:*Interactive components * High color contrast * Rhyming, repetitive, or predictable text * Familiar subjects and surroundings * Simple concepts * Distinct leveling between the ages of 0-3 years.","{""moneda"": ""PYG"", ""formato"": ""--"", ""tapa"": """", ""encuadernacion"": ""-"", ""idioma"": ""Inglés"", ""editorial"": ""Scholastic"", ""paginas"": """", ""fecha_edicion"": """", ""medidas"": """", ""_tabla_adicional"": {""edición"": ""1"", ""idioma"": ""INGLÉS"", ""editorial"": ""SCHOLASTIC""}}",https://www.ellector.com.py/product_photos/24b89be1/1a635486ec8f634b14b204270e139e84.jpg
https://www.ellector.com.py/productos/autocracia-sa-id-b3peFn3.html,Autocracia S.A.,Anne Applebaum,9789877950861,220000,"A partir de casos contemporáneos, la ganadora del Premio de la Paz de los Libreros Alemanes 2024 y del Premio Pulitzer 2004, Anne Applebaum, demuestra en Autocracia S. A. que no hay un único líder al frente de las dictaduras, sino unas sofisticadas redes compuestas por estructuras financieras cleptocráticas, cuestionables servicios de seguridad y propagandistas profesionales. Los miembros de estas redes no solo están conectados dentro del propio país, sino con los de muchos otros. Las empresas corruptas controladas por el Estado totalitario hacen negocios con sus homólogas en territorios similares. La policía de un país puede armar, equipar y entrenar a la de otro. Los propagandistas comparten recursos y temas, difundiendo los mismos mensajes sobre la debilidad de la democracia y la maldad de Estados Unidos. Ningún país lidera este bloque; parece más bien una aglomeración de compañías cuyos vínculos no están cimentados en ideales, sino en acuerdos -diseñados para paliar los boicots económicos occidentales o para que algunos se enriquezcan personalmente-, razón por la cual pueden operar más allá de las fronteras geográficas e históricas. Applebaum asume el reto de contextualizar el mundo de las nuevas dictaduras, así como el de los principales opositores, para revelar cómo han evolucionado estos sistemas de gobierno y cómo han tratado de moldear la economía y la política de las las antiguas democracias.","{""moneda"": ""PYG"", ""formato"": ""Tapa Blanda - Rústica"", ""tapa"": ""Blanda"", ""encuadernacion"": ""Rústica"", ""idioma"": ""Español"", ""editorial"": ""Debate"", ""paginas"": ""224"", ""fecha_edicion"": ""01/12/2024"", ""medidas"": ""14 X 21"", ""_tabla_adicional"": {""fecha_edicion"": ""01/12/2024"", ""paginas"": ""224"", ""medidas"": ""14 X 21"", ""idioma"": ""ESPAÑOL"", ""editorial"": ""DEBATE""}}",https://www.ellector.com.py/product_photos/24b89be1/b2ba571f679d201fa5e03af589e1c2f5.jpg
https://www.ellector.com.py/productos/la-felicidad-cabe-en-una-taza-de-cafe-id-82R2Igy.html,La Felicidad Cabe En Una Taza De Cafe,Toshikazu Kawaguchi,9789506446758,175000,"Una nueva delicia con sabor japonés sobre los arrepentimientos del pasado, la promesa del futuro y el increíble regalo que es el presente. Dicen que en la cafetería Funikuri Funikura hay una mesa en la que puedes sentarte, pedir un café y viajar al pasado durante el tiempo que tarda este en enfriarse. Bajo la atenta mirada de la encantadora camarera Kazu, los clientes del café se enfrentarán a los momentos más importantes de sus vidas y descubrirán que la felicidad consiste en saber perdonarse a uno mismo. Cuatro historias de redención y esperanza llenas de personajes inolvidables, tiernos, contradictorios y sorprendentes que ya habitan en el corazón de más de un millón de lectores.","{""moneda"": ""PYG"", ""formato"": ""Tapa Blanda - Rústica"", ""tapa"": ""Blanda"", ""encuadernacion"": ""Rústica"", ""idioma"": ""Español"", ""editorial"": ""Plaza Janes"", ""paginas"": ""240"", ""fecha_edicion"": ""01/01/2023"", ""medidas"": ""15,5 X 19,5 CM"", ""_tabla_adicional"": {""edición"": ""1"", ""fecha_edicion"": ""01/01/2023"", ""tomos"": ""1"", ""paginas"": ""240"", ""medidas"": ""15,5 X 19,5 CM"", ""idioma"": ""ESPAÑOL"", ""editorial"": ""PLAZA JANES""}}",https://www.ellector.com.py/product_photos/24b89be1/24ae9e50d75b871d4ffd3ef4220f841a.jpg
https://www.ellector.com.py/productos/la-voz-ausente-id-kreoHNZ.html,La Voz Ausente,Gabriel Rolón,9789878221526,140000,"Cuanto más cerca aparenta estar el mundo de cierta calma, mayor suele ser la tormenta que se gesta en lo inesperado. Un rayo acaba en segundos con la ensoñación del psicoanalista Pablo Rouviot después de disfrutar de un concierto de violín: su mejor amigo, José, fue encontrado al borde de la muerte en su consultorio con un tiro en la cabeza. Todo parece indicar un intento de suicidio. Pero Pablo sospecha que la verdad es otra.Llevado por un impulso que lo empuja al límite de lo irracional, y con la ayuda de su fiel compañero, el subcomisario Bermúdez, se interna en una trama incierta, un universo críptico y siniestro en el que el develamiento de un secreto familiar lo deja cara a cara con un enemigo oscuro, inteligente y peligroso. Así, sin saberlo, se sumergirá en una historia en la que deberá poner en juego sus herramientas analíticas para esclarecer la investigación policial, sin sospechar que, a cada paso, se irá convirtiendo en una potencial víctima.Vértigo, erotismo y juegos riesgosos que tienen a la muerte como protagonista hacen de La voz ausente, la segunda novela de Gabriel Rolón, un thriller psicológico trepidante que genera en el lector sensaciones tan extremas como desconocidas.","{""moneda"": ""PYG"", ""formato"": ""Tapa Blanda - Rústica"", ""tapa"": ""Blanda"", ""encuadernacion"": ""Rústica"", ""idioma"": ""Español"", ""editorial"": ""Booket"", ""paginas"": ""544"", ""fecha_edicion"": ""01/01/2024"", ""medidas"": ""13 X 19"", ""_tabla_adicional"": {""fecha_edicion"": ""01/01/2024"", ""paginas"": ""544"", ""medidas"": ""13 X 19"", ""idioma"": ""ESPAÑOL"", ""editorial"": ""BOOKET""}}",https://www.ellector.com.py/product_photos/24b89be1/d3baaa39575ef7d616fe70c9613c0a38.jpg
