ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780375870354,Lunch Lady and the Picture Day Peril: Lunch Lady #8,Jarrett J. Krosoczka,Knopf Books for Young Readers,De Bolsillo,,"Description
From the author of National Book Award finalist
Hey, Kiddo
.
It's picture day at Thompson Brook, but the students are plagued by a freak acne epidemic. While the Breakfast Bunch scrambles to put their best faces forward, their hifalutin photographer raises Lunch Lady's eyebrows. She suspects the photographer may have an underhanded plan to break into the world of high fashion that puts the students in danger! Will Lunch Lady be able to storm the runway and stop the vogue rogue without blowing her cover?",,96,,"September 11th, 2012",https://www.bookpeople.com/book/9780375870354,https://images.booksense.com/images/354/870/9780375870354.jpg,bookpeople
9780385752794,Lunch Lady and the Schoolwide Scuffle: Lunch Lady and the Schoolwide Scuffle,Jarrett J. Krosoczka,Knopf Books for Young Readers,De Bolsillo,,"Description
From the author of National Book Award finalist
Hey, Kiddo
.
Lunch Lady and Betty have been unceremoniously cut from the school budget, and the timing couldn't be worse—the villains from all nine of her previous adventures are worming their way back into Thompson Brook with a masterfully devious plan. Will the Breakfast Bunch still be able to count on Lunch Lady's superhero gadgets and abilities to save the school, or are they on their own? Don't miss Lunch Lady's swashbuckling finale!",,96,,"January 28th, 2014",https://www.bookpeople.com/book/9780385752794,https://images.booksense.com/images/794/752/9780385752794.jpg,bookpeople
9780525435280,Squeeze Me: A novel,Carl Hiaasen,Vintage Crime/Black Lizard,De Bolsillo,,"Description
NEW YORK TIMES
BEST SELLER
• A hilarious novel of social and political intrigue, set against the glittering backdrop of Florida’s gold coast, f
rom the author of
Skinny Dip
and
Razor Girl
“If you could use some wild escapism right now, Hiaasen is your guy.” —
The New York Times
WITH A NEW EPILOGUE
At the height of Palm Beach’s charity ball season, Kiki Pew Fitzsimmons, a prominent member of geriatric high society, suddenly vanishes during a swank gala. Kiki Pew was a founding member of the Potussies, a group of women dedicated to supporting the President, who spends half the year at the “Winter White House” just down the road. Meanwhile, Angie Armstrong, wildlife wrangler extraordinaire, is called to the island to deal with a monster-sized Burmese python that has taken residency in a tree. But the President is focused on the disappearance of Kiki Pew. Never one to miss an opportunity to play to his base, he immediately declares her a victim of rampaging immigrant hordes. This, it turns out, is far from the truth, which now lies in the middle of the road, where a bizarre discovery brings the First Lady’s motorcade to a grinding halt. Irreverent, ingenious, and uproariously entertaining,
Squeeze Me
perfectly captures the absurdity of our times.",,384,,"May 11th, 2021",https://www.bookpeople.com/book/9780525435280,https://images.booksense.com/images/280/435/9780525435280.jpg,bookpeople
9780544935204,The Crossover: A Newbery Award Winner (The Crossover Series),Kwame Alexander,Clarion Books,De Bolsillo,,"Description
Series streaming now on Disney+, with executive producers including NBA great LeBron James!
The Newbery Medal and Coretta Scott King Award–winning middle grade bestseller! Basketball and heartache share the court in this slam-dunk novel in verse.
""With a bolt of lightning on my kicks . . .The court is SIZZLING. My sweat is DRIZZLING. Stop all that quivering. Cuz tonight I’m delivering,"" announces dreadlocked, 12-year old Josh Bell. He and his twin brother Jordan are awesome on the court.
But Josh has more than basketball in his blood. He's got mad beats, too, that tell his family's story in verse, in this fast and furious middle grade novel of family and brotherhood from Kwame Alexander. Josh and Jordan must come to grips with growing up on and off the court to realize breaking the rules comes at a terrible price, as their story's heart-stopping climax proves a game-changer for the entire family.",,256,,"March 5th, 2019",https://www.bookpeople.com/book/9780544935204,https://images.booksense.com/images/204/935/9780544935204.jpg,bookpeople
9780545208871,The Last Council: A Graphic Novel (Amulet #4),Kazu Kibuishi,Graphix,De Bolsillo,,"Description
Kazu Kibuishi's thrilling, NEW YORK TIMES bestselling series continues!
Emily and her friends think they'll find the help they need in Cielis, but something isn't right. Streets that were once busy are deserted, and the townspeople who are left live in crippling fear. Emily is escorted to the Academy where she's expected to compete for a spot on the Guardian Council, the most powerful Stonekeepers. But as the number of competitors gets smaller and smaller, a terrible secret is slowly uncovered--a secret that, if left buried, means certain destruction of everything Emily fights for.",,224,,"September 1st, 2011",https://www.bookpeople.com/book/9780545208871,https://images.booksense.com/images/871/208/9780545208871.jpg,bookpeople
9780545682442,A Night Divided (Scholastic Gold),Jennifer A. Nielsen,Scholastic Inc.,De Bolsillo,,"Description
A stunning thriller from the New York Times bestselling author of Iceberg, Jennifer A. Nielsen, A Night Divided is about a girl who must escape to freedom after the Berlin Wall divides her family between east and west.
A Night Divided joins the Scholastic Gold line, which features award-winning and beloved novels. Includes exclusive bonus content!
With the rise of the Berlin Wall, Gerta finds her family suddenly divided. She, her mother, and her brother Fritz live on the eastern side, controlled by the Soviets. Her father and middle brother, who had gone west in search of work, cannot return home. Gerta knows it is dangerous to watch the wall, yet she can't help herself. She sees the East German soldiers with their guns trained on their own citizens; she, her family, her neighbors and friends are prisoners in their own city.
But one day on her way to school, Gerta spots her father on a viewing platform on the western side, pantomiming a peculiar dance. Gerta concludes that her father wants her and Fritz to tunnel beneath the wall, out of East Berlin. However, if they are caught, the consequences will be deadly. No one can be trusted. Will Gerta and her family find their way to freedom?
Follow New York Times bestselling author Jennifer A. Nielsen on this nonstop, intrigue-filled adventure!",,352,,"April 24th, 2018",https://www.bookpeople.com/book/9780545682442,https://images.booksense.com/images/442/682/9780545682442.jpg,bookpeople
9780545733120,What If You Had Animal Feet? (What If You Had... ?),Sandra Markle,Scholastic Nonfiction,De Bolsillo,,"Description
If you could have any animal's feet, whose would you choose?
WHAT IF YOU HAD ANIMAL FEET? is the next book in the successful WHAT IF series by Sandra Markle, illustrated by Howard McWilliam, following the very popular WHAT IF YOU HAD ANIMAL TEETH? and WHAT YOU IF HAD ANIMAL HAIR? This latest edition teaches kids about the amazing variety of feet in the animal kingdom and their specialty functions! From cheetahs' fast feet to mountain goats' nimble climbing hooves, to flies' sticky feet!  Each animal profile includes a photo as well as illustrations of kids with animal feet that are sure to make kids laugh!",,32,,"February 24th, 2015",https://www.bookpeople.com/book/9780545733120,https://images.booksense.com/images/120/733/9780545733120.jpg,bookpeople
9780545859264,What If You Had Animal Ears? (What If You Had... ?),Sandra Markle,Scholastic Nonfiction,De Bolsillo,,"Description
If you could have any animal's ears, whose would you choose?
What if you woke up one morning and your ears weren't yours? What If You Had Animal Ears explores what would happen if you looked in the mirror and saw an animal's ears instead of your own! The next imaginative book in the What If You Had series, explores incredible ears from the animal kingdom. From the elephant's tremendous ears to the jack rabbit's mood ears,  discover what it would be like if you had these special ears--and find out why your ears are just the right ones for you!",,32,,"January 5th, 2016",https://www.bookpeople.com/book/9780545859264,https://images.booksense.com/images/264/859/9780545859264.jpg,bookpeople
9780593377727,Uni and the Perfect Present (Uni the Unicorn) (Step into Reading),Amy Krouse Rosenthal,Random House Books for Young Readers,De Bolsillo,,"Description
Uni the Unicorn for early readers! Another exciting Uni adventure that children will love in the Step into Reading series!
Uni is generous, and wants to give Silkie a special present for his birthday. But Uni doesn't have anything! So Uni asks different animals what
they
think the perfect present is. Uni gives Silkie many gifts on their special day together but there is one that is the most special.
Uni the unicorn is a charming and relatable character! Fans of the picture books, as well as new Uni fans, will be excited to join this bighearted unicorn and friends on a new adventure of learning about disappointment and gratitude. Look for all the Uni readers:
Uni the Unicorn Bakes a Cake
Uni the Unicorn Goes to School
Uni's First Sleepover
Step 2 readers use basic vocabulary and short sentences to tell simple stories. They are perfect for children who recognize familiar words and can sound out new words with help.",,32,,"September 21st, 2021",https://www.bookpeople.com/book/9780593377727,https://images.booksense.com/images/727/377/9780593377727.jpg,bookpeople
9781338166484,Carols and Crushes: Wish Novel: A Wish Novel,Natalie Blitt,Scholastic Paperbacks,De Bolsillo,,"Description
Caroling, cocoa, wintry fun, and a sweet romance make this perfect for the WISH line! It will pub in November just in time for the holidays, alongside REVENGE OF THE ANGELS.
Charlie's moment to shine has arrived: She's determined to land a solo in this year's holiday concert. With her best friend, Renee, and smart, cute Eric in chorus with her, this winter promises to be pitch-perfect.Until disaster strikes. The concert is suddenly in danger of being canceled. And Charlie has to partner up with annoying, oh-so-perfect  Matthew. If they can't work in harmony, Charlie's favorite time of year will be ruined. Will she be able to save the show from a blizzard of problems -- and figure out who makes her heart sing?",,256,,"October 31st, 2017",https://www.bookpeople.com/book/9781338166484,https://images.booksense.com/images/484/166/9781338166484.jpg,bookpeople
