ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780063413672,The Charmer: A Biotech Billionaires Novel,Ava Rani,Avon,De Bolsillo,,"Description
INSTANT
USA TODAY
BESTSELLER
•
When a charming billionaire and a reclusive lawyer tie the knot to outsmart an inheritance scheme, sparks fly and unexpected love blossoms in this sizzling romance from Ava Rani, author of
The Spare
and
The Heir
.
Sometimes love outsmarts the best laid plans.
Penelope Chen-Astor ran away from the stifling expectations of her wealthy family in Singapore for an independent life as a high-powered Manhattan lawyer. But familial duty comes crashing back when her grandfather’s will demands she be married for a year to claim her inheritance. She’d walk away from it all, but her mother’s assets are at stake too, and this is the only way Penelope can see to protect her.
Enter Xander Sutton, the billionaire co-founder of investment group Dawn Capital. With his effortless charm and easy smiles, he’s used to winning hearts, but Penelope’s always proven immune to him. When she’s backed into a corner and asks Xander to masquerade as her husband for a year, he sees a golden opportunity to finally win over the only person who’s kept him at arm’s length—but the closer they get, the harder it becomes to play pretend.
What begins as a strictly business arrangement quickly spirals into steamy encounters and genuine emotions. When meddling relatives, corporate espionage, and high-stakes legal battles come into play, Xander and Penelope will have to decide if the inheritance is all they stand to lose when the year is done...
From the bustling streets of Manhattan to the serene beaches of the Hamptons and the skyscrapers of Singapore
, The Charmer
is the third and final novel in the Biotech Billionaires universe.
TROPES YOU'LL FIND IN
THE CHARMER
:
Black cat/golden retriever
Marriage of convenience
""My wife""
Friends to lovers
Only one bed
They're both rich-rich
Spicy to-do list",,352,,"May 13th, 2025",https://www.bookpeople.com/book/9780063413672,https://images.booksense.com/images/672/413/9780063413672.jpg,bookpeople
9780525581581,Super Mario: Power Up! (Nintendo®): Press-Out Characters and Reusable Stickers!,Random House,Random House Books for Young Readers,De Bolsillo,,"Description
Run, stomp, jump, fly, and race with Nintendo's Mario, Luigi, and all their friends in this deluxe reusable sticker book. Watch out--Bowser and the Koopalings want to get in on the action, too!
Run, stomp, jump, fly, and race with Mario, Luigi, and all their friends in this deluxe reusable sticker book. Watch out--Bowser and the Koopalings want to get in on the action, too! Nintendo fans can act out their adventures with their favorite Nintendo® characters against awesome backgrounds and more in this super-interactive book!
Mario first appeared in 1981 with the arcade classic
Donkey Kong
(TM), and went on to star in many adventures, evolving into the beloved icon he is today. He is a video-game sensation, appearing across all genres--from action-platformers to sports, kart racing, and beyond.",,24,,"September 4th, 2018",https://www.bookpeople.com/book/9780525581581,https://images.booksense.com/images/581/581/9780525581581.jpg,bookpeople
9781250301703,The Silent Patient,Alex Michaelides,Celadon Books,De Bolsillo,,"Description
**THE INSTANT #1
NEW YORK TIMES
BESTSELLER**
""An unforgettable—and Hollywood-bound—new thriller... A mix of Hitchcockian suspense, Agatha Christie plotting, and Greek tragedy.""
—
Entertainment Weekly
The Silent Patient
is a shocking psychological thriller of a woman’s act of violence against her husband—and of the therapist obsessed with uncovering her motive.
Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.
Alicia’s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London.
Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations—a search for the truth that threatens to consume him....",,368,,"May 4th, 2021",https://www.bookpeople.com/book/9781250301703,https://images.booksense.com/images/703/301/9781250301703.jpg,bookpeople
9781338762457,The New Girl: A Graphic Novel (The New Girl #1),Cassandra Calin,Graphix,De Bolsillo,,"Description
This funny, feel-good middle-grade graphic novel about change and acceptance will be a hit with fans of Guts by Raina Telgemeier, Pizza Face by Rex Ogle and Dave Valeza, and Parachute Kids by Betty C. Tang.
Goodbye, old life...
Lia and her family are waiting to board a flight across the Atlantic, leaving behind family, friends, and Romania -- the only home Lia has ever known. But Lia's heartache is overshadowed by the discomfort of her first period. As if things weren't difficult enough! Now Lia is thrust into a world where everything is different: her home, her language, and even her body. With so many changes happening at once, Lia struggles with schoolwork, has trouble communicating with classmates, and has no idea how to manage her unpleasant periods. Will she ever feel like herself again?
Inspired by the author's own immigration experience, The New Girl is a comically charming story about change and acceptance.",,272,,"June 4th, 2024",https://www.bookpeople.com/book/9781338762457,https://images.booksense.com/images/457/762/9781338762457.jpg,bookpeople
9781534421813,Snoopy's Christmas Surprise (Peanuts),Charles  M. Schulz,Simon Spotlight,De Bolsillo,,"Description
This 8x8 storybook comes with a sheet of Christmas stickers!
Celebrate Christmas with Snoopy, Woodstock, and the rest of the Peanuts gang!
Snoopy is excited when his brother Spike writes and says he is coming for a visit. But then at the last minute, Spike changes his mind because he can’t afford a bus ticket. Snoopy is sad, and the Peanuts gang tries their best to cheer him up.
Linus offers him his blanket, Sally gives him a big hug, and Charlie Brown brings him treats, but it’s Lucy who saves the day! It’s a very merry Christmas after all.
© 2018 Peanuts Worldwide LLC",,16,,"September 18th, 2018",https://www.bookpeople.com/book/9781534421813,https://images.booksense.com/images/813/421/9781534421813.jpg,bookpeople
9781546110477,Unico: Hunted (Volume 2): An Original Manga (Unico Awakening),Osamu Tezuka (Created by),Graphix,Tapa Dura,,"Description
Still hunted by Venus, Unico befriends a sickly girl imprisoned by an evil robotic machine.
Lost in space and time, Unico awakens in an abandoned factory town. Saved by the resourceful mouse, Garapachi, Unico befriends Chiko, a human girl. But he soon learns that a sinister force is at work in the town's factory, bent on killing all living things. Meanwhile, Venus unleashes a fierce hunter who will stop at nothing to find Unico. Can Unico save Chiko? Can the West Wind save Unico?
Conceived anew by Eisner-nominated author Samuel Sattin and Eisner-winning artist team Gurihiru, and developed in collaboration with Tezuka Productions, UNICO: Hunted is the second volume in a groundbreaking reboot of a beloved manga by Astro Boy creator Osamu Tezuka, the ""God of Manga."" With striking full-color artwork and reading left to right in the Western comics style to match the original manga, UNICO is a brilliant series featuring storytelling at its best. Join Unico on an unforgettable journey!",,224,,"July 1st, 2025",https://www.bookpeople.com/book/9781546110477,https://images.booksense.com/images/477/110/9781546110477.jpg,bookpeople
9781546141815,The Search for the Secret Garden (Thea Stilton #38),Thea Stilton,Scholastic Paperbacks,De Bolsillo,,"Description
Join Thea Stilton and the Thea Sisters on an adventure packed with mystery and friendship!
The Thea Sisters go to Paris!",,176,,"July 1st, 2025",https://www.bookpeople.com/book/9781546141815,https://images.booksense.com/images/815/141/9781546141815.jpg,bookpeople
9781589254978,The Ugly Duckling (My First Fairy Tales),Tiger Tales,Tiger Tales,De Bolsillo,,"Description
When Mother Duck’s eggs hatch, one little duckling is clumsy and noisy...and very ugly! And no matter how hard he tries to fit in, the other animals just laugh at him. Will the ugly duckling ever find a friend?
Invite children to step into the wonderful world of fairy tales with these fresh offerings. While staying true to the traditional stories, the books in the
My First Fairy Tales
series feature artwork by a variety of current illustrators. These books are perfect for encouraging young readers to explore the excitement and life lessons that are a part of fairy tales.",,32,,"March 7th, 2017",https://www.bookpeople.com/book/9781589254978,https://images.booksense.com/images/978/254/9781589254978.jpg,bookpeople
9781664350212,Baby's First Bedtime: With Sturdy Flaps,Danielle McLean,Tiger Tales,Board book,,"Description
In this introduction to animals, the youngest readers can lift the sturdy flaps to peek inside the animals’ homes to find out who is sleeping in each one.
In this introduction to animals, the youngest readers can lift the flaps to peek inside the animals’ homes to find out who is sleeping in each one. Children will meet a variety of friendly animals, including a dog and her puppies in a kennel, a bird and his chicks in their birdhouse, a rabbit and her kits in their hutch, and duck and his ducklings in their duck house. Features sturdy flaps that are just right for little hands.",,10,,"February 1st, 2022",https://www.bookpeople.com/book/9781664350212,https://images.booksense.com/images/212/350/9781664350212.jpg,bookpeople
9789507320835,Cuatro Ratones En La Selva Negra = Four Mice Deep in the Jungle (Geronimo Stilton #4),Geronimo Stilton,Destino Ediciones,De Bolsillo,,,,0,,"August 29th, 2006",https://www.bookpeople.com/book/9789507320835,https://images.booksense.com/images/835/320/9789507320835.jpg,bookpeople
