query_raw,isbn_archivo,titulo_archivo,isbn_bookpeople,titulo_bookpeople,autor_bookpeople,precio_bookpeople,moneda_bookpeople,url_bookpeople,imagen_bookpeople,paginas_bookpeople,encuadernacion_bookpeople,editorial_bookpeople,fecha_publicacion_bookpeople,fecha_publicacion_iso_bookpeople,descripcion_bookpeople,acerca_autor_bookpeople,descripcion_raw_html_bookpeople,isbn_match,titulo_match_estricto,titulo_match_relajado,similitud_titulo,motivo_seleccion
9780194233958,9780194233958,,9780194233958,Oxford Bookworms Factfiles: Disaster!: Level 4: 1400-Word Vocabulary (Oxford Bookworms Library Factfiles: Stage 4),Mary McIntosh,11.0,USD,https://www.bookpeople.com/book/9780194233958,https://images.booksense.com/images/958/233/9780194233958.jpg,96,Paperback,Oxford University Press,"September 25th, 2008",2008-09-25,"Description
Features
topics
such as environmental issues, historical facts, and culture.
Full-color
photographs, introductions, glossaries, and exercises enhance student reading and learning.
Audio
versions of selected titles provide great models of intonation and pronunciation of difficult words.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>Features <strong>topics</strong> such as environmental issues, historical facts, and culture.
</p>
<p><strong>Full-color</strong> photographs, introductions, glossaries, and exercises enhance student reading and learning.
</p>
<p><strong>Audio</strong> versions of selected titles provide great models of intonation and pronunciation of difficult words.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194569880,9780194569880,,9780194569880,Oxford English for Careers: Nursing 2: Nursing 2,Tony Grice,37.4,USD,https://www.bookpeople.com/book/9780194569880,https://images.booksense.com/images/880/569/9780194569880.jpg,136,Paperback,"Oxford University Press, USA","June 22nd, 2009",2009-06-22,"Description
Nursing 2 teaches pre-work students to communicate accurately, in English, with patients and colleagues.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>Nursing 2 teaches pre-work students to communicate accurately, in English, with patients and colleagues.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194579063,9780194579063,,9780194579063,English for Customer Care [With CDROM] (Oxford Business English),Rosemary Richey,36.0,USD,https://www.bookpeople.com/book/9780194579063,https://images.booksense.com/images/063/579/9780194579063.jpg,80,Paperback,"Oxford University Press, USA","October 1st, 2008",2008-10-01,"Description
An expanding series of short, specialist English courses for different professions, work skills, and industries.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>An expanding series of short, specialist English courses for different professions, work skills, and industries.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194726115,9780194726115,,9780194726115,American Headway Third Edition: Level 3 Student Book: With Oxford Online Skills Practice Pack,Liz And John Soars,55.0,USD,https://www.bookpeople.com/book/9780194726115,https://images.booksense.com/images/115/726/9780194726115.jpg,0,Paperback,Oxford University Press,"March 18th, 2016",2016-03-18,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194726146,9780194726146,,9780194726146,American Headway Third Edition: Level 3 Workbook: With Ichecker Pack,Liz And John Soars,38.5,USD,https://www.bookpeople.com/book/9780194726146,https://images.booksense.com/images/146/726/9780194726146.jpg,0,Paperback,Oxford University Press,"March 18th, 2016",2016-03-18,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9781338894448,9781338894448,,9781338894448,ABC & 123 Flashcard Double Pack: Scholastic Early Learners (Flashcards),Scholastic,7.99,USD,https://www.bookpeople.com/book/9781338894448,https://images.booksense.com/images/448/894/9781338894448.jpg,108,Mixed media product,Cartwheel Books,"September 3rd, 2024",2024-09-03,"Description
Get your child ready for school success with these essential ABC and 123 flashcards! Scholastic Early Learners flashcards encourage repetition and retention of key learning points to set your child up for school success!
The ABC and 123 flashcard double pack helps children learn their numbers and the alphabet in a bright and interactive way. The double set contains 108 flashcards and comes in a sturdy box for easy storage. One side of each flashcard provides practice in forming each number or letter, while the other side presents a fun visual representation of that number or letter, providing practice with associating real objects and helping build the child's ABC and 123 skills!
108 double-sided flashcards focused on ABCs & 123s!
Helps prepare kids for Pre-K success!
The perfect size for little hands to hold.
Include clear word labels.
Aimed at children ages 3+.
Bright, colorful cards blend photographs and illustrations to make these flashcards some of the most eye-catching and engaging available.
Teacher approved!
Scholastic Early Learners is a dedicated program that focuses on building learning and school skills from infancy through third grade. Created by experts and focused on reinforcing curriculum learning and current academic guidelines, this educational line is the best partner in your child's school journey.
Scholastic Early Learners: The Most Trusted Name in Learning!","About the Author
Scholastic Inc. is a global publishing and education company whose mission is to encourage the intellectual and personal growth of all children, beginning with literacy.","<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>Get your child ready for school success with these essential ABC and 123 flashcards! Scholastic Early Learners flashcards encourage repetition and retention of key learning points to set your child up for school success!
</p>
<p>The ABC and 123 flashcard double pack helps children learn their numbers and the alphabet in a bright and interactive way. The double set contains 108 flashcards and comes in a sturdy box for easy storage. One side of each flashcard provides practice in forming each number or letter, while the other side presents a fun visual representation of that number or letter, providing practice with associating real objects and helping build the child's ABC and 123 skills!</p>
<ul>
<li>108 double-sided flashcards focused on ABCs &amp; 123s!</li>
<li>Helps prepare kids for Pre-K success!</li>
<li>The perfect size for little hands to hold.</li>
<li>Include clear word labels.</li>
<li>Aimed at children ages 3+.</li>
<li>Bright, colorful cards blend photographs and illustrations to make these flashcards some of the most eye-catching and engaging available.</li>
<li>Teacher approved!</li>
</ul>
<p>Scholastic Early Learners is a dedicated program that focuses on building learning and school skills from infancy through third grade. Created by experts and focused on reinforcing curriculum learning and current academic guidelines, this educational line is the best partner in your child's school journey.</p>
<p>Scholastic Early Learners: The Most Trusted Name in Learning!</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780823449644,9780823449644,,9780823449644,Colors,Shelley Rotner,7.99,USD,https://www.bookpeople.com/book/9780823449644,https://images.booksense.com/images/644/449/9780823449644.jpg,32,Board book,Holiday House,"June 20th, 2023",2023-06-20,"Description
The world is full of colors--explore it with this beautiful board book from an award-winning photographer!
A red fire truck races, orange pumpkins glow, and purple flowers bloom.
Vivid pictures of familiar scenes, animals, and objects introduce future readers to color words and inspire them to look carefully at the world around them. Full of striking close-ups on fruits, flowers, and animals, as well as striking portraits of kids from diverse backgrounds,
Colors
is a bright, brilliant concept book from the creator of the award-winning
Shades of People
.
Filled with unexpected examples of the colors all around us, from the yellow yolk of an egg to the green of a cat's eyes, this board book full of tot-friendly vocabulary and beautiful photography is sure to be a favorite.","About the Author
Anne Woodhull is an art therapist and children's book author who has also collaborated with Shelley Rotner on T
he Buzz on Bees: Why Are They Disappearing?
,
Shapes
, and
Every Season.
Shelley Rotner is the author and photo-illustrator of more than thirty books, including the
Hello Seasons!
series,
Grow! Raise! Catch!
,
What's the Weather?
, and
Shapes
for Holiday House, among others. Her children's books have been ALA Notable Books and Bank Street Best Books of the Year, and her photography has appeared in
Time
,
National Geographic
,
Food and Wine
, and many other publications.","<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p><strong>The world is full of colors--explore it with this beautiful board book from an award-winning photographer!</strong><br/><br/>A red fire truck races, orange pumpkins glow, and purple flowers bloom.<br/><br/>Vivid pictures of familiar scenes, animals, and objects introduce future readers to color words and inspire them to look carefully at the world around them. Full of striking close-ups on fruits, flowers, and animals, as well as striking portraits of kids from diverse backgrounds, <em>Colors</em> is a bright, brilliant concept book from the creator of the award-winning <em>Shades of People</em>.<br/><br/>Filled with unexpected examples of the colors all around us, from the yellow yolk of an egg to the green of a cat's eyes, this board book full of tot-friendly vocabulary and beautiful photography is sure to be a favorite.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194646826,9780194646826,,9780194646826,Cities (Oxford Read and Discover: Level 1),Richard Northcott,11.0,USD,https://www.bookpeople.com/book/9780194646826,https://images.booksense.com/images/826/646/9780194646826.jpg,40,Paperback,Oxford University Press,"November 8th, 2012",2012-11-08,"Description
Read and discover all about cities. Read and discover more about the world  This series of non-fiction readers provides interesting and educational content, with activities and project work.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>Read and discover all about cities. Read and discover more about the world  This series of non-fiction readers provides interesting and educational content, with activities and project work.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194726412,9780194726412,,9780194726412,American Headway Third Edition: Level 4 Student Multi-Pack B,John And Liz Soars,45.1,USD,https://www.bookpeople.com/book/9780194726412,https://images.booksense.com/images/412/726/9780194726412.jpg,0,Paperback,Oxford University Press,"March 18th, 2016",2016-03-18,,,,True,False,False,0.0,"ISBN exacto, URL directa"
