ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780062890306,A Spoonful of Frogs: A Halloween Book for Kids,Casey Lyall,Greenwillow Books,Tapa Dura,,"Description
Perfect for readers who love
Dragons Love Tacos
and
Room on the Broom
and now available as an unjacketed, lower-priced hardcover edition!
Frogs are the most important ingredient in a witch’s favorite treat—but they are also the hardest to get into the cauldron! From acclaimed author Casey Lyall and Caldecott Honor artist Vera Brosgol,
A Spoonful of Frogs
is a humorous and wholly original picture book that
The
Horn Book
called “a chef’s-kiss of comic timing” in a starred review.
A witch’s favorite treat is frog soup. Luckily, it’s healthy and easy to make. To give it that extra kick and a pop of color, the key ingredient is a spoonful of frogs. But how do you keep the frogs on the spoon? They hop, they leap, they hide . . . and they escape. What is a poor witch to do?
Casey Lyall is a master of comedic timing with her deceptively simple and energetic text, and Caldecott Honor winner Vera Brosgol’s vibrant, hilarious illustrations make the witch—and the frogs!—practically leap off the page. The solution to the witch’s dilemma will surprise and delight young readers and their parents alike.
Teeming with laugher and hijinks,
A Spoonful of Frogs
is pure fun from beginning to end. A must-have for young readers, parents, witches, frog lovers, and aspiring chefs.",,40,,"July 15th, 2025",https://www.bookpeople.com/book/9780062890306,https://images.booksense.com/images/306/890/9780062890306.jpg,bookpeople
9780063080096,The One and Only Ruby,Katherine Applegate,Storytide,De Bolsillo,,"Description
An instant #1
New York Times
bestseller!
From beloved powerhouse author Katherine Applegate comes
The One and Only Ruby
, starring the adorable baby elephant from the Newbery Medal-winning modern classic
The One and Only Ivan
and its bestselling sequel,
The One and Only Bob
.
Ruby’s story picks up a few months after the events of
The One and Only Bob
. Now living in a wildlife sanctuary, Ruby’s caretaker from the elephant orphanage in Africa where she grew up is visiting. Seeing him again brings back a flood of memories both happy and sad of her life before the circus, and she recounts the time she spent in the African savannah to Ivan and Bob.
In the timeless way that only Katherine Applegate could craft, this highly anticipated novel in verse is the perfect mix of heartfelt and humorous, poignant and sweet. Artist Patricia Castelao returns to the world of Ivan and his friends with gorgeous black-and-white interior illustrations to complete the story.
The One and Only Ruby
features first-person narrative; author's use of literary devices (personification, imagery); and story elements (plot, character development, perspective).
This middle grade novel is an excellent choice for tween readers in grades 5 to 8, for independent reading, homeschooling, and sharing in the classroom.
Don’t miss the film adaptation of
The One and Only Ivan
, now streaming on Disney+!",,240,,"May 6th, 2025",https://www.bookpeople.com/book/9780063080096,https://images.booksense.com/images/096/080/9780063080096.jpg,bookpeople
9780063096103,Pete the Kitty and the Mermaid's Sandcastle (My First I Can Read),James Dean,HarperCollins,De Bolsillo,,"Description
A magical mermaid adventure from
New York Times
bestselling creators Kimberly and James Dean!
Pete the Kitty and his mermaid friend Jessie work together to build a sandcastle. But the castle is missing something. Will one shell, two barnacles, three strands of seaweed, and more gifts from the sea be enough to make their sandcastle the best it can be?
Young mermaid fans and beachgoers will love building and counting with Pete and Jessie in this My First I Can Read story, complete with original illustrations from the creator of Pete the Cat, James Dean.
This My First I Can Read book is carefully crafted using basic language, word repetition, sight words, and sweet illustrations—which means it's perfect for shared reading with emergent readers. The active, engaging My First I Can Read stories have appealing plots and lovable characters, encouraging children to continue their reading journey.",,32,,"March 25th, 2025",https://www.bookpeople.com/book/9780063096103,https://images.booksense.com/images/103/096/9780063096103.jpg,bookpeople
9780063096165,Pete the Cat's Mars Mission (I Can Read Level 1),James Dean,HarperCollins,De Bolsillo,,"Description
Pete the Cat travels to Mars to help his friend in this Level 1 I Can Read from
New York Times
bestselling creators Kimberly and James Dean.
Marty is stuck on Mars, and it’s up to Pete the Cat to rescue him! Will Pete have the tools he needs to get Marty home?
Find out in this Level 1 I Can Read book complete with original illustrations from the creators of Pete the Cat, Kimberly and James Dean.
Pete the Cat's Mars Mission
is perfect for children learning to sound out words and sentences. Whether shared at home or in a classroom, the short sentences, familiar words, and simple concepts of Level One books support success for children eager to start reading on their own.",,32,,"June 24th, 2025",https://www.bookpeople.com/book/9780063096165,https://images.booksense.com/images/165/096/9780063096165.jpg,bookpeople
9780063116337,The Fintastical Tales of Mari A. Fisch #3: Pet Peeves,Monica Brown,HarperCollins,De Bolsillo,,"Description
The cat’s out of the bag!
Mari A. Fisch, mermaid-princess-turned-human-spy, has been sent on land on a mission to protect all Earth’s critters. From ducks to cats and kittens, Mari can’t help but come to the rescue when there’s an animal in trouble! But after a smelly encounter in the woods, Mari learns a lesson in how to help when it seems like there’s nothing you can do.
It's the third title in an all-new chapter book series from award-winning children’s book author Monica Brown.
With black-and-white illustrations on every page, milestone markers throughout, and craft-making activities at the end of each book, Fintastical Tales is the perfect series for any emergent or reluctant reader!",,96,,"May 27th, 2025",https://www.bookpeople.com/book/9780063116337,https://images.booksense.com/images/337/116/9780063116337.jpg,bookpeople
9780063222588,The School for Good and Evil: Movie Tie-In Edition: Now a Netflix Originals Movie,Soman Chainani,HarperCollins,De Bolsillo,,"Description
THE SCHOOL FOR GOOD AND EVIL is the #1 movie now streaming on Netflix—starring Academy Award winner Charlize Theron, Kerry Washington, Laurence Fishburne, Michelle Yeoh, Sofia Wylie, Sophie Anne Caruso, Jamie Flatters, Earl Cave, Kit Young, and many others!
The
New York Times
bestselling The School for Good and Evil series is an epic journey into a dazzling new world, where the only way out of a fairy tale is to live through one. Start here to follow Sophie, Agatha, and everyone at the school from the beginning!
Two best friends have been chosen to be students at the fabled School for Good and Evil, where ordinary boys and girls are trained to be fairy-tale heroes and villains. One will train for Good, one will become Evil’s new hope. Each thinks they know where they belong, but when they are swept into the Endless Woods, they’re switched into the opposite schools. Together they’ll discover who they really are and what they are capable of, because the only way out of a fairy tale . . . is to live through it.
This paperback edition features cover artwork from Netflix’s The School for Good and Evil film and includes Soman Chainani’s on-set movie diary!",,560,,"August 30th, 2022",https://www.bookpeople.com/book/9780063222588,https://images.booksense.com/images/588/222/9780063222588.jpg,bookpeople
9780063258761,The Scarlet Veil,Shelby Mahurin,HarperTeen,De Bolsillo,,"Description
A new darkness is rising in Belterra. This dark and thrilling vampire romance—set in the world of the
New York Times
bestselling Serpent & Dove series—is perfect for fans of Sarah J. Maas.
Six months have passed since Célie took her sacred vows and joined the ranks of the Chasseurs as their first huntswoman. With her fiancé, Jean Luc, as captain, she is determined to find her foothold in her new role and help protect Belterra. But whispers from her past still haunt her, and a new evil is rising—one that Célie herself must vanquish, unless she falls prey to the darkness.",,640,,"September 3rd, 2024",https://www.bookpeople.com/book/9780063258761,https://images.booksense.com/images/761/258/9780063258761.jpg,bookpeople
9780063290198,My Weird School Special: I’m a Poet and I Know It!,Dan Gutman,HarperCollins,De Bolsillo,,"Description
With more than 35 million books sold, the My Weird School series really gets kids reading! A.J. must figure out how to write the best poem to win a contest in this My Weird School Special from
New York Times
bestselling author Dan Gutman and veteran illustrator Jim Paillot.
To celebrate National Poetry Month, Ella Mentry School will have a schoolwide poem-writing contest, and all the students have to enter. There’s just one problem: A.J. has no time for rhymes!
But when an amazing secret prize is revealed, will A.J. be inspired to write a winning poem? And can he beat Little Miss Know-It-All Andrea—the best poet in school?
Dan Gutman’s signature kid-friendly sense of humor and Jim Paillot’s fun illustrations are perfectly blended in this weird poetry special you won’t want to miss—featuring bonus poetry writing tips from A.J. and Andrea, games, puzzles, and more!",,144,,"March 4th, 2025",https://www.bookpeople.com/book/9780063290198,https://images.booksense.com/images/198/290/9780063290198.jpg,bookpeople
9780063299511,Tree. Table. Book.,Lois Lowry,Clarion Books,De Bolsillo,,"Description
From two-time Newbery medalist Lois Lowry comes this warm and resonant story of an unlikely friendship, which unfolds as a revelation on how we hold on to—and pass on—what matters most.
The latest compelling work from the master storyteller.
When precocious eleven-year-old Sophie sets out to save her elderly neighbor (who is also her dearest friend), her journey will take her through their familiar suburban landscape and then, steadily yet unexpectedly, deeper into a landscape of history and shared stories.
Everyone knows the two Sophies are best friends. One is in elementary school, and one is . . . well . . . in a little trouble of late. She’s elderly, sure, but she’s always been on her game, the best friend any girl struggling to fit in could ever have. The Sophies drink tea, have strong opinions about pretty much everything, and love each other dearly. Now it seems the elder Sophie is having memory problems, burning teakettles, and forgetting just about everything. It looks like her son is going to come and get her and steal her away forever. Young Sophie isn’t having that. Not one bit. So she sets out to help elder Sophie’s memory, with the aid of her neighborhood friends Ralphie and Oliver. But when she opens the floodgates of elder Sophie’s memories, she winds up listening to stories that will illustrate just how much there is to know about her dear friend, stories of war, hunger, cruelty, and ultimately love.",,208,,"May 6th, 2025",https://www.bookpeople.com/book/9780063299511,https://images.booksense.com/images/511/299/9780063299511.jpg,bookpeople
9780063327412,The Elf on the Shelf: Welcome to the North Pole (I Can Read Level 1),Chanda A. Bell,HarperCollins,De Bolsillo,,"Description
Explore the magical realm of the North Pole alongside your favorite Scout Elf crew!
Readers will delight in meeting not only charming animal friends but also Santa Claus himself! Discover the wonder of the North Pole while uncovering the traditions and adventures that define this extraordinary place in this Level One early reader.
This book is a Level One I Can Read, perfect for children learning to sound out words and sentences. Whether shared at home or in a classroom, the short sentences, familiar words, and simple concepts of Level One books support success for children eager to start reading on their own.
Perfect for holiday storytime and family reading
Filled with joy, wonder, and the spirit of the season
A delightful Christmas gift for readers everywhere",,32,,"September 10th, 2024",https://www.bookpeople.com/book/9780063327412,https://images.booksense.com/images/412/327/9780063327412.jpg,bookpeople
