ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780194645126,Read and Discover Level 5 Animal Life Cycles Activity Book,Rachel Bladon,Oxford,De Bolsillo,,,,0,,"October 9th, 2011",https://www.bookpeople.com/book/9780194645126,https://images.booksense.com/images/126/645/9780194645126.jpg,bookpeople
9780307386410,The Year of Magical Thinking: A Play by Joan Didion Based on Her Memoir (Vintage International),Joan Didion,Vintage,De Bolsillo,,"Description
In this dramatic adaptation of her award-winning, bestselling memoir, Joan Didion transforms the story of the sudden and unexpected loss of her husband and their only daughter into a stunning and powerful one-woman play.
“This happened on December 30, 2003. That may seem a while ago but it won’t when it happens to you....”
Michiko Kakutani in
The New York Times
called the memoir that was the basis for the play, “an indelible portrait of loss and grief ... a haunting portrait of a four-decade-long marriage.""
The first theatrical production of
The Year of Magical Thinking
opened at the Booth Theatre on March 29, 2007, starring Vanessa Redgrave and directed by David Hare.",,80,,"May 15th, 2007",https://www.bookpeople.com/book/9780307386410,https://images.booksense.com/images/410/386/9780307386410.jpg,bookpeople
9780385348744,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War",Erik Larson,Crown,Tapa Dura,,"Description
#1
NEW YORK TIMES
BESTSELLER • The author of
The Splendid and the Vile
brings to life the pivotal five months between the election of Abraham Lincoln and the start of the Civil War in this “riveting reexamination of a nation in tumult” (
Los Angeles Times
).
“A feast of historical insight and narrative verve . . . This is Erik Larson at his best, enlivening even a thrice-told tale into an irresistible thriller.”—
The Wall Street Journal
A
PARADE
BEST BOOK OF THE YEAR
On November 6, 1860, Abraham Lincoln became the fluky victor in a tight race for president. The country was bitterly at odds; Southern extremists were moving ever closer to destroying the Union, with one state after another seceding and Lincoln powerless to stop them. Slavery fueled the conflict, but somehow the passions of North and South came to focus on a lonely federal fortress in Charleston Harbor: Fort Sumter.
Master storyteller Erik Larson offers a gripping account of the chaotic months between Lincoln’s election and the Confederacy’s shelling of Sumter—a period marked by tragic errors and miscommunications, enflamed egos and craven ambitions, personal tragedies and betrayals. Lincoln himself wrote that the trials of these five months were “so great that, could I have anticipated them, I would not have believed it possible to survive them.”
At the heart of this suspense-filled narrative are Major Robert Anderson, Sumter’s commander and a former slave owner sympathetic to the South but loyal to the Union; Edmund Ruffin, a vain and bloodthirsty radical who stirs secessionist ardor at every opportunity; and Mary Boykin Chesnut, wife of a prominent planter, conflicted over both marriage and slavery and seeing parallels between them. In the middle of it all is the overwhelmed Lincoln, battling with his duplicitous secretary of state, William Seward, as he tries desperately to avert a war that he fears is inevitable—one that will eventually kill 750,000 Americans.
Drawing on diaries, secret communiques, slave ledgers, and plantation records, Larson gives us a political horror story that captures the forces that led America to the brink—a dark reminder that we often don’t see a cataclysm coming until it’s too late.",,592,,"April 30th, 2024",https://www.bookpeople.com/book/9780385348744,https://images.booksense.com/images/744/348/9780385348744.jpg,bookpeople
9780593497678,The Ghost Orchid: An Alex Delaware Novel,Jonathan Kellerman,Ballantine Books,Tapa Dura,,"Description
NEW YORK TIMES
BESTSELLER • Psychologist Alex Delaware and Detective Milo Sturgis confront a baffling, vicious double homicide that leads them to long-buried secrets worth killing for in the riveting thriller from the #1
New York Times
bestselling “master of suspense” (
Los Angeles Times
).
LAPD homicide lieutenant Milo Sturgis sees it all the time: Reinvention’s a way of life in a city fueled by fantasy. But try as you might to erase the person you once were, there are those who will never forget the past . . . and who can still find you.
A pool boy enters a secluded Bel Air property and discovers two bodies floating in the bright blue water: Gio Aggiunta, the playboy heir to an Italian shoe empire, and a gorgeous, even wealthier neighbor named Meagin March. A married neighbor.
An illicit affair stoking rage is a perfect motive. But a “double” in this neighborhood of gated estates isn’t something you see every day. The house is untouched. No forced entry, no forensic evidence. The case has “that feeling,” and when that happens, Milo turns to his friend, the brilliant psychologist Alex Delaware.
As Milo and Alex investigate both victims, they discover two troubled pasts. And as they dig deeper, Meagin March’s very identity begins to blur. Who was this glamorous but conflicted woman? Did her past catch up to her? Or did Gio’s family connections create a threat spanning two continents?
Chasing down the answers leads Alex and Milo on an exploration of L.A.’s darkest side as they contend with one of the most shocking cases of their careers and learn that that some secrets are best left buried in the past.",,304,,"February 6th, 2024",https://www.bookpeople.com/book/9780593497678,https://images.booksense.com/images/678/497/9780593497678.jpg,bookpeople
9780593750636,The Very Lonely Firefly's Nighttime Friends: A Touch-and-Feel Book,Eric Carle,World of Eric Carle,Board book,,"Description
Join the Very Lonely Firefly and nighttime friends in this touch-and-feel adventure!
Greet a new friend with each turn of the page as you explore the night with The Very Lonely Firefly. Interactive text encourages young readers to feel and think about each texture they encounter, and Eric Carle's colorful art sets each delightful scene. Classic characters come to life in this interactive board book--perfect for little hands!",,10,,"July 2nd, 2024",https://www.bookpeople.com/book/9780593750636,https://images.booksense.com/images/636/750/9780593750636.jpg,bookpeople
9781339053028,"Harry Potter: Bake, Create, and Decorate (30+ Sweets and Treats Inspired by the Films)",Joanna Farrow,Scholastic Inc.,Tapa Dura,,"Description
Create delicious cakes, cupcakes, cookies, and other decorative desserts inspired by the Harry Potter films! A companion to the #1 New York Times bestseller The Official Harry Potter Baking Book and The Official Harry Potter Cookbook!
Decorate your own magical creations in this official dessert book that's perfect for the youngest fans of the Harry Potter films! This gorgeous book is packed with full-color photography and kid-friendly instructions for how to create 30 cake, cupcake, and cookie designs. Build your own Acromantula out of cupcakes. Design Hogwarts house crest cookies. Frost a cake that looks just like the Knight Bus -- and many more!
Each design in the book can be created using simple store-bought cake or cookie mixes. Or whip up your own treats from scratch using the provided basic cake, cookie, and frosting recipes. Plus, assembling cakes and frosting complex designs are made easy for bakers of all ages thanks to the handy templates included at the back of the book.
The delicious Wizarding World-themed desserts found in this book are perfect for parties, holidays, movie nights, and more! The perfect book for any beginning baker, aspiring decorator, and Harry Potter fan!",,96,,"July 2nd, 2024",https://www.bookpeople.com/book/9781339053028,https://images.booksense.com/images/028/053/9781339053028.jpg,bookpeople
9783791393810,Van Gogh Almond Blossom: Artists Sketchbook,Anon,Prestel,General merchandise,,"Description
Crafted for artists and admirers of fine art, this refined blank sketchbook showcases on its cover a delicate detail from Vincent van Gogh’s
Almond Blossom
, capturing the serene beauty of the blooming branches against a tranquil blue sky.
Inside, the pages are high-quality, unruled paper, providing a pristine canvas for sketches, drawings, or notes. The edges of the pages are sprayed, adding an extra touch of elegance to this already exquisite package.
This sketchbook seamlessly blends artistic inspiration with practicality, making it an elegant and useful tool for creative minds, especially those who appreciate Van Gogh’s work and want to be inspired by his artistry every time they open to a new page. Its luxurious design makes it a perfect gift for art lovers, adding a touch of sophistication to their collection of art supplies.",,128,,"February 4th, 2025",https://www.bookpeople.com/book/9783791393810,https://images.booksense.com/images/810/393/9783791393810.jpg,bookpeople
9789504957485,La Venganza Será Terrible,Alejandro Dolina,Planeta Publishing,De Bolsillo,,,,536,,"December 8th, 2020",https://www.bookpeople.com/book/9789504957485,https://images.booksense.com/images/485/957/9789504957485.jpg,bookpeople
9780194414814,OXFORD ENGLISH GRAMMAR COURSE BASIC WITH ANSWERS AND COMPLETE INTERACTIVE EBOOK,Varios autores,"Oxford University Press España, S.A.",Rústica,Gramáticas de inglés,,Inglés,,,04/03/2019,https://www.casadellibro.com/libro-oxford-english-grammar-course-basic-with-answers-and-complete-interactive-ebook/9780194414814/9179875,https://imagessl3.casadellibro.com/a/l/t5/14/9780194414814.jpg,casa_del_libro
9780194518475,NEW ENGLISH FILE UPPER-INTERMEDIATE WORKBOOK WITHOUT KEY + MULTIROM PACK,Christina Latham-Koenig,Oxford University Press,Otros,Métodos y material de inglés,"Four-skills English course with fun lessons, digital resources and strong online support - loved by students and teachers at all levels.",Inglés,,,01/04/2008,https://www.casadellibro.com/libro-new-english-file-upper-intermediate-workbook-without-key-multirom-pack/9780194518475/2046129,https://imagessl0.casadellibro.com/a/l/t5/75/9780194518475.jpg,casa_del_libro
9780194645126,ORD 5 ANIMAL LIFE CYCLES ACTIVITY BOOK,Varios autores,"Oxford University Press España, S.A.",Rústica,Lecturas graduadas en inglés,Read and discover all about amazing animal life cycles ... Which animals hatch from eggs? What is metamorphosis?,Inglés,24,,18/04/2011,https://www.casadellibro.com/libro-ord-5-animal-life-cycles-activity-book/9780194645126/1853583,https://imagessl8.casadellibro.com/a/l/t5/26/9780194645126.jpg,casa_del_libro
9780194646765,OXFORD READ & DISCOVER 2 JOBS AB,Varios autores,"Oxford University Press España, S.A.",Rústica,Lecturas graduadas en inglés,Read and discover all about jobs ... Where do people work in cities? What does a vet do?,Inglés,16,,28/06/2013,https://www.casadellibro.com/libro-oxford-read-amp-discover-2-jobs-ab/9780194646765/2131577,https://imagessl4.casadellibro.com/a/l/t5/65/9780194646765.jpg,casa_del_libro
