ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780060837020,The Bell Jar: A Novel (Perennial Classics),Sylvia Plath,Harper Perennial Modern Classics,De Bolsillo,,"Description
One of
The Atlantic
’s Great American Novels
“A coming–of–age masterpiece.” —
Boston Globe
""It is this perfectly wrought prose and the freshness of Plath's voice in
The Bell Jar
that make this book enduring in its appeal.""
—USA Today
The Bell Jar
is Sylvia Plath’s masterwork—an acclaimed and timeless work of psychological fiction about a young woman falling into the grip of mental illness and societal pressures.
The story chronicles the breakdown of Esther Greenwood, a bright, beautiful, enormously talented college student facing a profound identity crisis while coming of age in 1950s America, as she navigates the pressures of society along with her own ambitions. While at a prestigious, competitively won position at a New York City magazine one summer, Esther finds herself struggling with the looming expectations of marriage, motherhood, and giving up on her dreams to achieve them. She becomes increasingly disillusioned and her mental health deteriorates, ultimately leading her to undergo harsh treatment and therapy.
""Funny, intense, enormously human"" (
Cosmopolitan
),
The Bell Jar
is a poignant exploration into the darkest and most harrowing corners of the human psyche and remains an extraordinary accomplishment from one of the country's most luminous talents.",,288,,"August 2nd, 2005",https://www.bookpeople.com/book/9780060837020,https://images.booksense.com/images/020/837/9780060837020.jpg,bookpeople
9780194278850,Oxford Discover: 5: Student Book,,"Oxford University Press, USA",De Bolsillo,,,,200,,"December 5th, 2013",https://www.bookpeople.com/book/9780194278850,https://images.booksense.com/images/850/278/9780194278850.jpg,bookpeople
9780194278874,Oxford Discover 5 Workbook,Koustaff,Oxford,De Bolsillo,,,,0,,"September 25th, 2014",https://www.bookpeople.com/book/9780194278874,https://images.booksense.com/images/874/278/9780194278874.jpg,bookpeople
9780194727853,American Headway 2 Workbook,Joan Soars,"Oxford University Press, USA",De Bolsillo,,"Description
American Headway, Second Edition is the world's most trusted adult English course offering a perfectly-balanced, six-level syllabus and fresh new digital support. With a strong focus on grammar, clear vocabulary syllabus and integrated skills work, its proven methodology provides classroom lessons that really work.
The new Second Edition features fully-revised material, including a completely new Advanced level. Online Teacher Resource Center, Test Generator CD-ROMs and other features offer an exciting new generation of
digital support.",,112,,"June 4th, 2010",https://www.bookpeople.com/book/9780194727853,https://images.booksense.com/images/853/727/9780194727853.jpg,bookpeople
9780679877615,Monster Faces (Sesame Street) (A Chunky Book),Tom Brannon (Illustrator),Random House Books for Young Readers,Board book,,"Description
Illustrated in full color. Whose face is that on the cover? That's right--it's red-hot Elmo! Toddlers will learn to link facial expressions to emotions as they take a close-up look at some of the funniest, fuzziest monster faces on Sesame Street! Zoe has yummy lollipop--look how happy she is! Elmo has a sad face--he's just dropped his ice cream cone. Poor Elmo! Can
you
make a ""sorry Elmo"" face?",,22,,"August 13th, 1996",https://www.bookpeople.com/book/9780679877615,https://images.booksense.com/images/615/877/9780679877615.jpg,bookpeople
9781338137200,Lego Make Your Own Movie: 100% Official Lego Guide to Stop-Motion Animation,Klutz (Created by),Klutz,Other,,"Description
Lights . . . camera . . . action  Bring your LEGO minifigures to life with this beginner-friendly guide to stop-motion animation. Ten -Mini Movies- walk you through using your phone, tablet, or computer to make short, funny clips
with step-by-step instructions. Set the stage with any of the six included background settings and thirty-six LEGO elements including a pizza, banana, baseball cap, six minifigure heads, and more  Plus, learn the tricks of the trade as you dive into more advanced skills, such as lighting, sound effects, and camera angles. With these tips
and tricks, every movie you make is guaranteed to be a successful smash hit.
Comes With:
36 LEGO elements
Punch-out animation frames
Foldout paper backgrounds.",,0,,"September 1st, 2017",https://www.bookpeople.com/book/9781338137200,https://images.booksense.com/images/200/137/9781338137200.jpg,bookpeople
9781631138553,"Que Viaje, Ambar Dorado! (de Mbar / A is for Amber Easy-To-Read)",Paula Danziger,Loqueleo,De Bolsillo,,"Description
Ambar Dorado is expecting the best vacation ever  Her family is going to the Poconos with her best friend, Justo Daniels, and his family. Amber can't wait to explore the tree house, cool off in the pool, and maybe even sleep out in a tent. Nothing can go wrong on a vacation with your best friend--or can it?",,0,,"January 1st, 2016",https://www.bookpeople.com/book/9781631138553,https://images.booksense.com/images/553/138/9781631138553.jpg,bookpeople
9781631138560,"Justo a Tiempo, Ambar Dorado (de Ambar / A is for Amber Easy-To-Read)",Paula Danziger,Loqueleo,De Bolsillo,,,,48,,"June 7th, 2007",https://www.bookpeople.com/book/9781631138560,https://images.booksense.com/images/560/138/9781631138560.jpg,bookpeople
9781680105810,Five Spooky Pumpkins,Danielle McLean,Tiger Tales,Board book,,"Description
Children can learn to count to five with this pumpkin-shaped board book that features a fun Halloween rhyme! Young readers will love to turn the chunky pages, which increase in size with each turn of the page.",,12,,"September 3rd, 2019",https://www.bookpeople.com/book/9781680105810,https://images.booksense.com/images/810/105/9781680105810.jpg,bookpeople
9789876348621,Sabores del sudeste asiático,Christina Sunae,Ediciones Lea,De Bolsillo,,"Description
In this book Christina Sunae shares her original and exquisite gastronomy from her restaurant, Cocina Sunae, and in her television appearances on the elGourmet.com channel.",,120,,"April 1st, 2013",https://www.bookpeople.com/book/9789876348621,https://images.booksense.com/images/621/348/9789876348621.jpg,bookpeople
