query_raw,isbn_archivo,titulo_archivo,isbn_yenny,titulo_yenny,autor_yenny,precio_yenny,moneda_yenny,url_yenny,imagen_yenny,url_portada_yenny,formato_yenny,editorial_yenny,encuadernacion_yenny,idioma_yenny,paginas_yenny,dimensiones_yenny,fecha_publicacion_yenny,descripcion_yenny,descripcion_raw_yenny,sinopsis_yenny,isbn_match,titulo_match_estricto,titulo_match_relajado,similitud_titulo,motivo_seleccion
﻿9781368051477,9781368051477,,9781368051477,PERCY JACKSON AND THE OLYMPIANS BOOK ONE: THE LIGHTNING THIEF,Rick Riordan,20400.0,ARS,https://www.yenny-elateneo.com/productos/percy-jackson-and-the-olympians-book-one-the-lightning-thief,https://acdn-us.mitiendanube.com/stores/004/088/117/products/726727-b47ab884d624a47dc217538121368908-1024-1024.webp,https://acdn-us.mitiendanube.com/stores/004/088/117/products/726727-b47ab884d624a47dc217538121368908-1024-1024.webp,LIBROS,Penguin U.s.a.,Tapa Blanda,Español,,,01/2025,,"<div class=""user-content font-small mb-4"">
<div class=""short-description"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: #ffffff; zoom: 1.2;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Formato: </strong>LIBROS</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Editorial:</strong> Penguin U.s.a.</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Encuadernación:</strong> Tapa Blanda</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Idioma: </strong>Español</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>ISBN: </strong>9781368051477</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Fecha Publicación: </strong>01/2025</div> <br/><p><strong>Sinópsis</strong><br/></p></div> </div>
</div>",,True,False,False,0.0,ISBN exacto
9789871713844,9789871713844,,9789871713844,HEROES DE LA SELECCION (AFA / TORNEOS Y COMPETENCIAS),Editorial Guadal,7999.0,ARS,https://www.yenny-elateneo.com/productos/heroes-de-la-seleccion-afa-torneos-y-competencias,https://acdn-us.mitiendanube.com/stores/004/088/117/products/724142-c0cbbcb187826eb91c17313987980188-1024-1024.webp,https://acdn-us.mitiendanube.com/stores/004/088/117/products/724142-c0cbbcb187826eb91c17313987980188-1024-1024.webp,LIBROS,Guadal,Tapa Blanda,Español,,,11/2024,,"<div class=""user-content font-small mb-4"">
<div class=""short-description"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: #ffffff; zoom: 1.2;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Formato: </strong>LIBROS</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Editorial:</strong> Guadal</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Encuadernación:</strong> Tapa Blanda</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Idioma: </strong>Español</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>ISBN: </strong>9789871713844</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><span style=""background-color: transparent;""><strong>N°</strong></span><strong> Páginas: </strong>32</div> <div class=""std"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; background: transparent;""><strong>Fecha Publicación: </strong>11/2024</div> <br/><p><strong>Sinópsis</strong><br/>Este libro ofrece un recorrido fascinante por los logros y triunfos de la Selección Nacional bajo la dirección de Lionel Scaloni. A través de sus páginas, se develan las claves de la conquista de la Copa América y se perfilan los jugadores que han brillado en cada posición, revelando cómo esta generación ha renovado la gloria del fútbol argentino. Con una narrativa que combina pasión y detalle, el libro es una celebración imprescindible para los aficionados al deporte rey.</p></div> </div>
</div>","Este libro ofrece un recorrido fascinante por los logros y triunfos de la Selección Nacional bajo la dirección de Lionel Scaloni. A través de sus páginas, se develan las claves de la conquista de la Copa América y se perfilan los jugadores que han brillado en cada posición, revelando cómo esta generación ha renovado la gloria del fútbol argentino. Con una narrativa que combina pasión y detalle, el libro es una celebración imprescindible para los aficionados al deporte rey.",True,False,False,0.0,ISBN exacto
