ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780063305083,Queen Charlotte: Before Bridgerton Came a Love Story That Changed the Ton…,Julia Quinn,Avon,Tapa Dura,,"Description
Go beyond the original Shondaland series on Netflix,
Queen Charlotte,
with this lushly romantic Bridgerton prequel novel written by
New York Times
bestselling authors Julia Quinn and Shonda Rhimes as the marriage of Queen Charlotte and King George of England leads to an unexpected love story and a union that transforms society.
In 1761, on a sunny day in September, a King and Queen met for the very first time. They were married within hours.
Born a German Princess, Charlotte of Mecklenburg-Strelitz was beautiful, headstrong, and fiercely intelligent… not precisely the attributes the British Court had been seeking in a spouse for the young King George III. But her fire and independence were exactly what she, and her King, needed.
Because George has secrets… secrets with the potential to shake the very foundations of the monarchy.
Thrust into her new role, Charlotte must navigate the intricate politics of the court—with the newly-titled Lady Danbury at her side—all the while guarding her heart, because she is falling in love with the King…even as he pushes her away. Now, Charlotte must learn to rule, and to understand that she has been given the power to remake society, fulfilling her destiny as Queen. But she also has to fight for the love growing between her and George as people first, royals second. As she says to him: “Fight with me! Fight
for
me!”",,352,,"May 9th, 2023",https://www.bookpeople.com/book/9780063305083,https://images.booksense.com/images/083/305/9780063305083.jpg,bookpeople
9780194234252,Police TV (Oxford Bookworms: Starter),Tim Vicary,Oxford University Press,De Bolsillo,,"Description
This award-winning collection of adapted classic literature and original stories develops reading skills for low-beginning through advanced students.
Accessible language and carefully controlled vocabulary build students' reading confidence.
Introductions at the beginning of each story, illustrations throughout, and glossaries help build comprehension.
Before, during, and after reading activities included in the back of each book strengthen student comprehension.
Audio versions of selected titles provide great models of intonation and pronunciation of difficult words.",,48,,"March 15th, 2008",https://www.bookpeople.com/book/9780194234252,https://images.booksense.com/images/252/234/9780194234252.jpg,bookpeople
9780194407366,Smart Choice Starter: Student Book with Online Practice,Ken Wilson,"Oxford University Press, USA",De Bolsillo,,"Description
Smart Choice is a complete four-skills course with a special focus on conversation. With its straightforward approach, the series requires minimal preparation, while allowing plenty of opportunity for supplementation. Each page of Smart Choice offers a self-contained lesson, focusing on a particular skill, and closes with a discussion activity. A balance of work on speaking, listening, reading, writing, grammar, vocabulary, and pronunciation ensures a high level of student engagement, as well as mutual reinforcement of the language skills.",,0,,"July 5th, 2012",https://www.bookpeople.com/book/9780194407366,https://images.booksense.com/images/366/407/9780194407366.jpg,bookpeople
9780194645065,Read and Discover Level 5 Medicine Then and Now,Louise and Richard Spilsbury,Oxford,De Bolsillo,,,,56,,"October 9th, 2011",https://www.bookpeople.com/book/9780194645065,https://images.booksense.com/images/065/645/9780194645065.jpg,bookpeople
9780194646796,Earth (Oxford Read and Discover: Level 1),Richard Northcott,Oxford University Press,De Bolsillo,,"Description
Read and discover all about Earth How old are Earth's mountains? What is under the land? Read and discover more about the world  This series of non-fiction readers provides interesting and educational content, with activities and project work.",,40,,"November 8th, 2012",https://www.bookpeople.com/book/9780194646796,https://images.booksense.com/images/796/646/9780194646796.jpg,bookpeople
9780194646857,Electricity,Louise A. Spilsbury,Oxford University Press,De Bolsillo,,"Description
This exciting new series of non-fiction readers provides interesting and educational content, with activities and project work. The readers are graded at four levels, from 3 to 6, suitable for students from age 8 and older. They can support Content and Language Integrated Learning (CLIL), and cover a broad range of topics, within three curriculum areas: The World of Science and Technology The Natural World The World of Arts and Social Studies.",,40,,"March 14th, 2013",https://www.bookpeople.com/book/9780194646857,https://images.booksense.com/images/857/646/9780194646857.jpg,bookpeople
9780194796347,American English File 2e 3b Multipack 2019,,Oxford,De Bolsillo,,,,0,,"July 1st, 2019",https://www.bookpeople.com/book/9780194796347,https://images.booksense.com/images/347/796/9780194796347.jpg,bookpeople
9780316556514,The Time of Contempt (The Witcher #4),Andrzej Sapkowski,Orbit,De Bolsillo,,"Description
To protect his ward Ciri, Geralt of Rivia sends her to train with the sorceress Yennefer. But all is not well within the Wizard's Guild in the second novel of the Witcher, Andrzej Sapkowski's groundbreaking epic fantasy series that inspired the hit Netflix show and the blockbuster video games.
★ The New York Times Bestselling Series
★ Over Fifteen Million Copies Sold Worldwide
★ World Fantasy Award Winning Author
★ David Gemmell Legend Award Winning Author
★ Named One of the Greatest Book Series of All Time by Forbes
Geralt is a Witcher: guardian of the innocent; protector of those in need; a defender in dark times against some of the most frightening creatures of myth and legend.
His task now is to protect Ciri. A child of prophecy, she will have the power to change the world for good or for ill—but only if she lives to use it.
Witcher collections
The Last Wish
Sword of Destiny
Witcher novels
Blood of Elves
The Time of Contempt
Baptism of Fire
The Tower of Swallows
Lady of the Lake
Season of Storms
Crossroads of Ravens
Hussite Trilogy
The Tower of Fools
Warriors of God
Translated from original Polish by David French",,368,,"June 20th, 2023",https://www.bookpeople.com/book/9780316556514,https://images.booksense.com/images/514/556/9780316556514.jpg,bookpeople
9780593834510,How to Feed the World: The History and Future of Food,Vaclav Smil,Viking,Tapa Dura,,"Description
""Vaclav Smil is my favorite author.""
—
Bill Gates
An indispensable analysis of how the world really produces and consumes its food
—
and a scientist's exploration of how we can successfully feed a growing population without killing the planet
We have never had to feed as many people as we do today. And yet, we misunderstand the essentials of where our food really comes from, how our dietary requirements shape us, and why this impacts our planet in drastic ways. As a result, in our economic, political, and everyday choices, we take for granted and fail to prioritize the thing that makes all our lives possible: food.
In this ambitious, myth-busting book, Smil investigates many of the burning questions facing the world today: why are some of the world’s biggest food producers also the countries with the most undernourished populations? Why do we waste so much food and how can we solve that? Could the whole planet go vegan and be healthy? Should it? He explores the global history of food production to understand why we farm some animals and not others, why most of the world’s calories come from just a few foodstuffs, and how this might change in the future.
How to Feed the World
is the data-based, rigorously researched guide that offers solutions to our broken global food system.",,272,,"March 4th, 2025",https://www.bookpeople.com/book/9780593834510,https://images.booksense.com/images/510/834/9780593834510.jpg,bookpeople
9780593899557,Build!,Red Nose Studio,Anne Schwartz Books,Board book,,"Description
Now available as a board book! Watch a series of amazing construction vehicles—a dump truck, a bulldozer, and many others—build a building unlike any other. Then delight in the surprise ending, where young readers and listeners can see that the trucks are actually toys a little boy is playing with!
Bulldozers, dump trucks, and cranes are just a few of the vehicles working together to build something incredible. The payloader makes the hole for the foundation (""DIG""), the semi-loader brings in the huge blocks (""HAUL""), and the crane lifts them up (""HOIST""). But is this a real construction site, or a boy's backyard filled with toys?
Here is an ingenious book that showcases all kinds of trucks and celebrates the joy of imaginative play. But it is also a marvel of ingenuity on the part of Red Nose Studio, who hand-built each vehicle, then photographed his 3-D creations.",,34,,"March 18th, 2025",https://www.bookpeople.com/book/9780593899557,https://images.booksense.com/images/557/899/9780593899557.jpg,bookpeople
