isbn,site,url,titulo,amazon_search_url
9780062432407,,,,https://www.amazon.com/s?k=9780062432407&i=stripbooks
9780062432612,,,,https://www.amazon.com/s?k=9780062432612&i=stripbooks
9780062434159,,,,https://www.amazon.com/s?k=9780062434159&i=stripbooks
9780062475763,,,,https://www.amazon.com/s?k=9780062475763&i=stripbooks
9780062563903,,,,https://www.amazon.com/s?k=9780062563903&i=stripbooks
9780062641540,,,,https://www.amazon.com/s?k=9780062641540&i=stripbooks
9780062662378,,,,https://www.amazon.com/s?k=9780062662378&i=stripbooks
9780062675248,,,,https://www.amazon.com/s?k=9780062675248&i=stripbooks
9780062692788,,,,https://www.amazon.com/s?k=9780062692788&i=stripbooks
9780062692801,,,,https://www.amazon.com/s?k=9780062692801&i=stripbooks
9780062698490,,,,https://www.amazon.com/s?k=9780062698490&i=stripbooks
9780062699947,,,,https://www.amazon.com/s?k=9780062699947&i=stripbooks
9780062699978,,,,https://www.amazon.com/s?k=9780062699978&i=stripbooks
9780062836533,,,,https://www.amazon.com/s?k=9780062836533&i=stripbooks
9780062836557,,,,https://www.amazon.com/s?k=9780062836557&i=stripbooks
9780062851062,,,,https://www.amazon.com/s?k=9780062851062&i=stripbooks
9780062868268,,,,https://www.amazon.com/s?k=9780062868268&i=stripbooks
9780062868305,,,,https://www.amazon.com/s?k=9780062868305&i=stripbooks
9780062868329,,,,https://www.amazon.com/s?k=9780062868329&i=stripbooks
9780062868350,,,,https://www.amazon.com/s?k=9780062868350&i=stripbooks
9780062868459,,,,https://www.amazon.com/s?k=9780062868459&i=stripbooks
9780062875471,,,,https://www.amazon.com/s?k=9780062875471&i=stripbooks
9780062890306,,,,https://www.amazon.com/s?k=9780062890306&i=stripbooks
9780062930651,,,,https://www.amazon.com/s?k=9780062930651&i=stripbooks
9780062930682,,,,https://www.amazon.com/s?k=9780062930682&i=stripbooks
9780062933683,,,,https://www.amazon.com/s?k=9780062933683&i=stripbooks
9780062964502,,,,https://www.amazon.com/s?k=9780062964502&i=stripbooks
9780062972453,,,,https://www.amazon.com/s?k=9780062972453&i=stripbooks
9780062974174,,,,https://www.amazon.com/s?k=9780062974174&i=stripbooks
9780062974266,,,,https://www.amazon.com/s?k=9780062974266&i=stripbooks
9780062974396,,,,https://www.amazon.com/s?k=9780062974396&i=stripbooks
9780062974419,,,,https://www.amazon.com/s?k=9780062974419&i=stripbooks
9780062989628,,,,https://www.amazon.com/s?k=9780062989628&i=stripbooks
9780062989642,,,,https://www.amazon.com/s?k=9780062989642&i=stripbooks
9780062992321,,,,https://www.amazon.com/s?k=9780062992321&i=stripbooks
9780062993168,,,,https://www.amazon.com/s?k=9780062993168&i=stripbooks
9780063031722,,,,https://www.amazon.com/s?k=9780063031722&i=stripbooks
9780063037427,,,,https://www.amazon.com/s?k=9780063037427&i=stripbooks
9780063037557,,,,https://www.amazon.com/s?k=9780063037557&i=stripbooks
9780063037571,,,,https://www.amazon.com/s?k=9780063037571&i=stripbooks
9780063050112,,,,https://www.amazon.com/s?k=9780063050112&i=stripbooks
9780063056503,,,,https://www.amazon.com/s?k=9780063056503&i=stripbooks
9780063056763,,,,https://www.amazon.com/s?k=9780063056763&i=stripbooks
9780063060692,,,,https://www.amazon.com/s?k=9780063060692&i=stripbooks
9780063060715,,,,https://www.amazon.com/s?k=9780063060715&i=stripbooks
9780063070950,,,,https://www.amazon.com/s?k=9780063070950&i=stripbooks
9780063070981,,,,https://www.amazon.com/s?k=9780063070981&i=stripbooks
9780063071025,,,,https://www.amazon.com/s?k=9780063071025&i=stripbooks
9780063080096,,,,https://www.amazon.com/s?k=9780063080096&i=stripbooks
9780063083714,,,,https://www.amazon.com/s?k=9780063083714&i=stripbooks
9780063092983,,,,https://www.amazon.com/s?k=9780063092983&i=stripbooks
9780063096103,,,,https://www.amazon.com/s?k=9780063096103&i=stripbooks
9780063096165,,,,https://www.amazon.com/s?k=9780063096165&i=stripbooks
9780063097308,,,,https://www.amazon.com/s?k=9780063097308&i=stripbooks
9780063111486,,,,https://www.amazon.com/s?k=9780063111486&i=stripbooks
9780063116276,,,,https://www.amazon.com/s?k=9780063116276&i=stripbooks
9780063116313,,,,https://www.amazon.com/s?k=9780063116313&i=stripbooks
9780063116337,,,,https://www.amazon.com/s?k=9780063116337&i=stripbooks
9780063157798,,,,https://www.amazon.com/s?k=9780063157798&i=stripbooks
9780063159983,,,,https://www.amazon.com/s?k=9780063159983&i=stripbooks
9780063203907,,,,https://www.amazon.com/s?k=9780063203907&i=stripbooks
9780063204164,,,,https://www.amazon.com/s?k=9780063204164&i=stripbooks
9780063222588,,,,https://www.amazon.com/s?k=9780063222588&i=stripbooks
9780063251922,,,,https://www.amazon.com/s?k=9780063251922&i=stripbooks
9780063257207,,,,https://www.amazon.com/s?k=9780063257207&i=stripbooks
9780063258716,,,,https://www.amazon.com/s?k=9780063258716&i=stripbooks
9780063258761,,,,https://www.amazon.com/s?k=9780063258761&i=stripbooks
9780063268456,,,,https://www.amazon.com/s?k=9780063268456&i=stripbooks
9780063271098,,,,https://www.amazon.com/s?k=9780063271098&i=stripbooks
9780063272439,,,,https://www.amazon.com/s?k=9780063272439&i=stripbooks
9780063272453,,,,https://www.amazon.com/s?k=9780063272453&i=stripbooks
9780063287877,,,,https://www.amazon.com/s?k=9780063287877&i=stripbooks
9780063290099,,,,https://www.amazon.com/s?k=9780063290099&i=stripbooks
9780063290198,,,,https://www.amazon.com/s?k=9780063290198&i=stripbooks
9780063299511,,,,https://www.amazon.com/s?k=9780063299511&i=stripbooks
9780063305656,,,,https://www.amazon.com/s?k=9780063305656&i=stripbooks
9780063306509,,,,https://www.amazon.com/s?k=9780063306509&i=stripbooks
9780063306691,,,,https://www.amazon.com/s?k=9780063306691&i=stripbooks
9780063311206,,,,https://www.amazon.com/s?k=9780063311206&i=stripbooks
9780063311220,,,,https://www.amazon.com/s?k=9780063311220&i=stripbooks
9780063311244,,,,https://www.amazon.com/s?k=9780063311244&i=stripbooks
9780063320970,,,,https://www.amazon.com/s?k=9780063320970&i=stripbooks
9780063327399,,,,https://www.amazon.com/s?k=9780063327399&i=stripbooks
9780063327412,,,,https://www.amazon.com/s?k=9780063327412&i=stripbooks
9780063327535,,,,https://www.amazon.com/s?k=9780063327535&i=stripbooks
9780063335592,,,,https://www.amazon.com/s?k=9780063335592&i=stripbooks
9780063343160,,,,https://www.amazon.com/s?k=9780063343160&i=stripbooks
9780063343184,,,,https://www.amazon.com/s?k=9780063343184&i=stripbooks
9780063343221,,,,https://www.amazon.com/s?k=9780063343221&i=stripbooks
9780063349407,,,,https://www.amazon.com/s?k=9780063349407&i=stripbooks
9780063351127,,,,https://www.amazon.com/s?k=9780063351127&i=stripbooks
9780063351318,,,,https://www.amazon.com/s?k=9780063351318&i=stripbooks
9780063354777,,,,https://www.amazon.com/s?k=9780063354777&i=stripbooks
9780063355392,,,,https://www.amazon.com/s?k=9780063355392&i=stripbooks
9780063355422,,,,https://www.amazon.com/s?k=9780063355422&i=stripbooks
9780063371781,,,,https://www.amazon.com/s?k=9780063371781&i=stripbooks
9780063373471,,,,https://www.amazon.com/s?k=9780063373471&i=stripbooks
9780063373501,,,,https://www.amazon.com/s?k=9780063373501&i=stripbooks
9780063374249,,,,https://www.amazon.com/s?k=9780063374249&i=stripbooks
9780063374683,,,,https://www.amazon.com/s?k=9780063374683&i=stripbooks
9780063375697,,,,https://www.amazon.com/s?k=9780063375697&i=stripbooks
9780063377738,,,,https://www.amazon.com/s?k=9780063377738&i=stripbooks
9780063378308,,,,https://www.amazon.com/s?k=9780063378308&i=stripbooks
9780063378995,,,,https://www.amazon.com/s?k=9780063378995&i=stripbooks
9780063382435,,,,https://www.amazon.com/s?k=9780063382435&i=stripbooks
9780063384651,,,,https://www.amazon.com/s?k=9780063384651&i=stripbooks
9780063387621,,,,https://www.amazon.com/s?k=9780063387621&i=stripbooks
9780063389779,,,,https://www.amazon.com/s?k=9780063389779&i=stripbooks
9780063394063,,,,https://www.amazon.com/s?k=9780063394063&i=stripbooks
9780063395695,,,,https://www.amazon.com/s?k=9780063395695&i=stripbooks
9780063413108,,,,https://www.amazon.com/s?k=9780063413108&i=stripbooks
9780063413672,,,,https://www.amazon.com/s?k=9780063413672&i=stripbooks
9780063413825,,,,https://www.amazon.com/s?k=9780063413825&i=stripbooks
9780063414686,,,,https://www.amazon.com/s?k=9780063414686&i=stripbooks
9780063415195,,,,https://www.amazon.com/s?k=9780063415195&i=stripbooks
9780063415911,,,,https://www.amazon.com/s?k=9780063415911&i=stripbooks
9780063416659,,,,https://www.amazon.com/s?k=9780063416659&i=stripbooks
9780063418561,,,,https://www.amazon.com/s?k=9780063418561&i=stripbooks
9780063419803,,,,https://www.amazon.com/s?k=9780063419803&i=stripbooks
9780063420199,,,,https://www.amazon.com/s?k=9780063420199&i=stripbooks
9780063424784,,,,https://www.amazon.com/s?k=9780063424784&i=stripbooks
9780063429147,,,,https://www.amazon.com/s?k=9780063429147&i=stripbooks
9780063430686,,,,https://www.amazon.com/s?k=9780063430686&i=stripbooks
9780063432109,,,,https://www.amazon.com/s?k=9780063432109&i=stripbooks
9780063433151,,,,https://www.amazon.com/s?k=9780063433151&i=stripbooks
9780063434790,,,,https://www.amazon.com/s?k=9780063434790&i=stripbooks
9780063439221,,,,https://www.amazon.com/s?k=9780063439221&i=stripbooks
9780063442726,,,,https://www.amazon.com/s?k=9780063442726&i=stripbooks
9780063450042,,,,https://www.amazon.com/s?k=9780063450042&i=stripbooks
9780063454118,,,,https://www.amazon.com/s?k=9780063454118&i=stripbooks
9780063467910,,,,https://www.amazon.com/s?k=9780063467910&i=stripbooks
9780064409391,,,,https://www.amazon.com/s?k=9780064409391&i=stripbooks
9780064471107,,,,https://www.amazon.com/s?k=9780064471107&i=stripbooks
9780140150469,,,,https://www.amazon.com/s?k=9780140150469&i=stripbooks
9780141194561,,,,https://www.amazon.com/s?k=9780141194561&i=stripbooks
9780143039976,,,,https://www.amazon.com/s?k=9780143039976&i=stripbooks
9780143107231,,,,https://www.amazon.com/s?k=9780143107231&i=stripbooks
9780143111528,,,,https://www.amazon.com/s?k=9780143111528&i=stripbooks
9780143122968,,,,https://www.amazon.com/s?k=9780143122968&i=stripbooks
